Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs),,Cluster,PlotID
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.11,±1,Stanford,15.3,±5,CH,1412,±1,149,5,3,1
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.18,±1,Stanford,15.3,±5,CH,1385,±1,353,5.87,2,2
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1,CCCCC,0.5,306,Species,4,1.83,±1,Stanford,14.13,±3,OH,1426,±0.7,281,5.64,2,5
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.58,1,CCCCCC,0.42,306,Species,4,1.93,±1,Stanford,14.13,±3,OH,1237,±0.7,2706,7.9,1,7
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,5.69,,Stanford,15.3,±5,CH,1421,±1,138,4.93,2,11
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,1.27,,Stanford,15.3,±5,CH,1428,±1,296,5.69,2,3
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,2.01,±1,Stanford,14.13,±3,OH,1289,±0.7,1198,7.09,1,8
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.71,1,CCCCCCCCC,0.29,306,Species,4,1.86,±1,Stanford,14.13,±3,OH,1367,±0.7,499,6.21,2,6
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.86,0.5,CCCCCCCCC,0.14,306,Species,4,1.78,±1,Stanford,14.13,±3,OH,1399,±0.7,180,5.19,3,4
n_Alkane_Oxidation,Ar,99.39,0.8,CCCCCCCCCC,0.03,431,Species,0.58,2.11,,Stanford,8.9,±5,CH,1462, ±1.5,206,5.33,3,10
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1173,,475,6.16,2,12
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.87,0.79,CCCCCCCCCCCCCCCC,0.13,431,Species,4,2.08,,Stanford,15.3,±2,CH,1165,±2,4548,8.42,1,9
