Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-6.73,-0.57,0.8,-1.38,-2.79,22.25,0.94
-6.66,-0.55,0.79,-1.36,-2.82,22.12,0.94
-6.68,-0.56,0.84,-1.4,-7.8,22.69,0.94
-6.83,-0.57,0.79,-1.36,-2.58,22.32,0.94
-6.79,-0.55,0.76,-1.32,-2.48,22.11,0.94
-6.76,-0.56,0.78,-1.36,-2.51,22.2,0.94
-6.65,-0.56,0.78,-1.35,-2.66,22.04,0.94
-6.7,-0.56,0.79,-1.36,-2.73,22.15,0.94
-6.69,-0.55,0.78,-1.36,-2.6,22.1,0.94
-6.71,-0.55,0.8,-1.38,-2.7,22.2,0.94
-6.78,-0.56,0.79,-1.37,-2.58,22.27,0.94
-6.71,-0.55,0.78,-1.34,-2.62,22.09,0.94
-6.64,-0.55,0.84,-1.38,-7.89,22.58,0.94
-6.79,-0.56,0.82,-1.37,-5.83,22.6,0.94
-6.58,-0.59,0.88,-1.49,-7.52,22.72,0.92
-6.69,-0.55,0.79,-1.36,-2.63,22.12,0.94
-6.7,-0.55,0.78,-1.34,-2.6,22.05,0.94
-6.79,-0.55,0.8,-1.37,-2.72,22.3,0.94
-6.75,-0.57,0.84,-1.42,-7.01,22.72,0.93
-6.67,-0.55,0.77,-1.33,-2.66,22,0.94
-6.8,-0.55,0.78,-1.35,-2.68,22.26,0.94
-6.65,-0.57,0.82,-1.39,-7.32,22.54,0.93
-6.81,-0.57,0.83,-1.4,-7.48,22.82,0.93
-6.45,-0.54,0.89,-1.43,-10,22.67,0.95
-6.75,-0.55,0.78,-1.34,-2.55,22.12,0.94
-6.6,-0.56,0.84,-1.4,-8.09,22.58,0.93
-6.62,-0.57,0.81,-1.37,-7.28,22.45,0.93
-6.66,-0.56,0.82,-1.38,-7.49,22.56,0.93
-6.64,-0.54,0.77,-1.34,-2.6,21.97,0.93
-6.59,-0.56,0.83,-1.38,-7.35,22.46,0.94
-6.72,-0.56,0.8,-1.37,-2.82,22.24,0.94
-6.71,-0.56,0.8,-1.37,-2.77,22.2,0.94
-6.67,-0.55,0.79,-1.36,-2.8,22.12,0.94
-6.74,-0.55,0.77,-1.34,-2.68,22.12,0.94
-6.81,-0.55,0.78,-1.34,-2.55,22.22,0.94
-6.61,-0.55,0.88,-1.42,-9.59,22.83,0.94
-6.74,-0.56,0.84,-1.39,-8.14,22.78,0.94
-6.77,-0.55,0.78,-1.34,-2.64,22.18,0.94
-6.69,-0.55,0.79,-1.35,-2.71,22.11,0.94
-6.75,-0.55,0.76,-1.32,-2.64,22.08,0.94
-6.69,-0.56,0.82,-1.39,-7.44,22.61,0.93
-6.68,-0.56,0.84,-1.39,-7.79,22.67,0.94
-6.83,-0.57,0.84,-1.42,-7.03,22.88,0.93
-6.7,-0.55,0.79,-1.36,-2.76,22.15,0.94
-6.79,-0.56,0.79,-1.36,-2.71,22.28,0.94
-6.67,-0.57,0.82,-1.38,-7.19,22.54,0.93
-6.8,-0.56,0.8,-1.37,-2.72,22.34,0.94
-6.81,-0.55,0.77,-1.34,-2.64,22.23,0.94
-6.69,-0.55,0.77,-1.33,-2.71,22.04,0.94
-6.69,-0.55,0.8,-1.36,-2.78,22.15,0.94
-6.76,-0.58,0.83,-1.41,-6.97,22.72,0.93
-6.73,-0.54,0.78,-1.34,-2.57,22.11,0.94
-6.81,-0.55,0.77,-1.34,-2.75,22.23,0.94
-6.65,-0.54,0.77,-1.31,-2.68,21.92,0.94
-6.91,-0.57,0.8,-1.37,-6.81,22.8,0.93
-6.66,-0.56,0.82,-1.39,-7.6,22.58,0.94
-6.78,-0.55,0.79,-1.35,-2.86,22.26,0.95
-6.75,-0.55,0.78,-1.37,-2.53,22.19,0.94
-6.71,-0.55,0.78,-1.35,-2.74,22.13,0.94
-6.74,-0.55,0.78,-1.34,-2.76,22.13,0.94
-6.75,-0.56,0.82,-1.38,-3.07,22.37,0.94
-6.64,-0.55,0.77,-1.34,-2.67,21.99,0.94
-6.73,-0.57,0.82,-1.38,-7.02,22.6,0.93
-6.69,-0.57,0.81,-1.4,-6.81,22.54,0.93
-6.77,-0.56,0.8,-1.37,-2.93,22.33,0.95
-6.71,-0.55,0.83,-1.37,-7.66,22.64,0.94
-6.61,-0.56,0.83,-1.4,-7.54,22.52,0.93
-6.81,-0.57,0.79,-1.36,-6.86,22.62,0.93
-6.77,-0.55,0.77,-1.34,-2.64,22.16,0.94
-6.89,-0.57,0.76,-1.33,-6.56,22.59,0.93
-6.71,-0.56,0.83,-1.38,-7.24,22.62,0.93
-6.62,-0.56,0.82,-1.36,-7.97,22.48,0.94
-6.71,-0.55,0.79,-1.36,-2.79,22.16,0.94
-6.68,-0.55,0.77,-1.33,-2.66,22.03,0.94
-6.68,-0.55,0.83,-1.38,-7.72,22.61,0.94
-6.74,-0.55,0.79,-1.34,-2.86,22.18,0.94
-6.6,-0.6,0.88,-1.5,-7.09,22.73,0.92
-6.69,-0.55,0.79,-1.36,-2.71,22.15,0.94
-6.79,-0.56,0.79,-1.34,-2.77,22.24,0.94
-6.73,-0.55,0.77,-1.33,-2.57,22.08,0.94
-6.82,-0.55,0.79,-1.37,-2.56,22.31,0.94
-6.76,-0.55,0.78,-1.34,-2.59,22.15,0.94
-6.59,-0.57,0.83,-1.4,-7.79,22.54,0.93
-6.66,-0.54,0.79,-1.34,-2.9,22.07,0.94
-6.8,-0.55,0.79,-1.35,-2.83,22.28,0.94
-6.73,-0.55,0.77,-1.34,-2.68,22.12,0.94
-6.62,-0.56,0.83,-1.4,-7.45,22.54,0.93
-6.69,-0.55,0.83,-1.38,-7.95,22.63,0.94
-6.72,-0.55,0.78,-1.34,-2.7,22.14,0.94
-6.69,-0.55,0.84,-1.39,-7.8,22.66,0.94
-6.71,-0.55,0.8,-1.37,-2.81,22.2,0.94
-6.69,-0.55,0.79,-1.36,-2.69,22.13,0.94
-6.71,-0.55,0.77,-1.34,-2.51,22.07,0.94
-6.7,-0.55,0.78,-1.33,-2.72,22.06,0.94
-6.79,-0.55,0.78,-1.36,-2.6,22.25,0.94
-6.7,-0.55,0.78,-1.35,-2.65,22.1,0.94
-6.66,-0.55,0.83,-1.38,-8.05,22.61,0.94
-6.77,-0.56,0.83,-1.38,-7.52,22.71,0.93
-6.63,-0.54,0.78,-1.34,-2.62,21.96,0.94
-6.71,-0.55,0.83,-1.37,-7.98,22.65,0.94
-6.72,-0.55,0.78,-1.34,-2.74,22.13,0.94
-6.74,-0.55,0.77,-1.33,-2.55,22.09,0.94
-6.73,-0.55,0.78,-1.34,-2.73,22.12,0.94
-6.68,-0.56,0.78,-1.33,-7.3,22.38,0.94
-6.72,-0.55,0.8,-1.35,-2.8,22.16,0.94
-6.69,-0.55,0.78,-1.35,-2.58,22.1,0.94
-6.67,-0.55,0.78,-1.35,-2.7,22.07,0.94
-6.77,-0.55,0.78,-1.34,-2.52,22.14,0.94
-6.77,-0.55,0.75,-1.32,-2.45,22.06,0.94
-6.65,-0.55,0.78,-1.35,-2.56,22.03,0.94
-6.71,-0.55,0.77,-1.33,-2.66,22.05,0.94
-6.71,-0.55,0.81,-1.38,-3,22.28,0.94
-6.64,-0.56,0.83,-1.39,-7.54,22.56,0.93
-6.63,-0.57,0.83,-1.42,-7.05,22.54,0.93
-6.65,-0.55,0.83,-1.39,-7.3,22.54,0.93
-6.7,-0.55,0.81,-1.36,-2.95,22.22,0.94
-6.76,-0.55,0.78,-1.34,-2.71,22.17,0.94
-6.49,-0.55,0.87,-1.43,-9.34,22.62,0.93
-6.71,-0.56,0.83,-1.4,-7.37,22.66,0.93
-6.69,-0.55,0.78,-1.35,-2.67,22.09,0.94
-6.68,-0.58,0.85,-1.44,-7.3,22.7,0.93
-6.7,-0.56,0.79,-1.36,-2.71,22.14,0.94
-6.81,-0.56,0.85,-1.4,-7.84,22.9,0.95
-6.71,-0.55,0.77,-1.33,-2.68,22.07,0.94
-6.68,-0.55,0.78,-1.36,-2.71,22.11,0.94
-6.84,-0.55,0.78,-1.34,-2.51,22.25,0.94
-6.71,-0.55,0.79,-1.36,-2.73,22.16,0.94
-6.8,-0.55,0.76,-1.31,-2.74,22.13,0.95
-6.65,-0.54,0.79,-1.35,-2.74,22.06,0.94
-6.64,-0.56,0.78,-1.35,-2.7,22.03,0.94
-6.6,-0.54,0.78,-1.35,-2.67,21.95,0.94
-6.64,-0.55,0.79,-1.36,-2.82,22.06,0.94
-6.69,-0.56,0.83,-1.4,-7.54,22.65,0.93
-6.7,-0.55,0.77,-1.33,-2.7,22.06,0.94
-6.76,-0.55,0.76,-1.31,-2.71,22.1,0.94
-6.7,-0.56,0.82,-1.38,-7.31,22.59,0.93
-6.71,-0.55,0.77,-1.32,-2.65,22.04,0.94
-6.74,-0.57,0.85,-1.42,-8,22.83,0.94
-6.72,-0.56,0.78,-1.35,-2.76,22.13,0.94
-6.8,-0.55,0.78,-1.35,-2.64,22.24,0.94
-6.74,-0.54,0.82,-1.37,-7.49,22.61,0.94
-6.83,-0.56,0.81,-1.37,-7.22,22.73,0.94
-6.61,-0.56,0.81,-1.37,-7.78,22.46,0.94
-6.69,-0.55,0.82,-1.37,-7.66,22.58,0.94
-6.67,-0.55,0.79,-1.35,-2.79,22.1,0.94
-6.66,-0.54,0.83,-1.38,-7.81,22.6,0.94
-6.66,-0.55,0.78,-1.34,-2.72,22.05,0.94
-6.68,-0.54,0.79,-1.35,-2.72,22.09,0.94
-6.64,-0.56,0.82,-1.39,-7.28,22.52,0.93
-6.73,-0.55,0.77,-1.35,-2.39,22.1,0.94
-6.7,-0.55,0.81,-1.36,-7.68,22.57,0.94
-6.75,-0.55,0.78,-1.34,-2.77,22.17,0.94
-6.63,-0.58,0.83,-1.41,-7.58,22.59,0.93
-6.72,-0.56,0.85,-1.42,-7.44,22.77,0.94
-6.79,-0.55,0.86,-1.4,-7.88,22.89,0.95
-6.81,-0.58,0.82,-1.42,-6.67,22.77,0.92
-6.84,-0.55,0.76,-1.31,-2.63,22.17,0.94
-6.81,-0.55,0.81,-1.36,-2.91,22.37,0.94
-6.7,-0.56,0.79,-1.34,-2.78,22.12,0.94
-6.74,-0.57,0.8,-1.37,-6.92,22.55,0.93
-6.74,-0.54,0.79,-1.35,-2.61,22.15,0.94
-6.69,-0.55,0.78,-1.34,-2.66,22.06,0.95
-6.93,-0.56,0.8,-1.36,-2.87,22.53,0.95
-6.77,-0.55,0.78,-1.35,-2.57,22.17,0.94
-6.65,-0.56,0.8,-1.37,-2.75,22.12,0.94
-6.64,-0.55,0.78,-1.35,-2.67,22.02,0.94
-6.71,-0.57,0.81,-1.38,-7.1,22.57,0.93
-6.79,-0.56,0.86,-1.41,-7.61,22.88,0.95
-6.83,-0.55,0.77,-1.33,-2.66,22.22,0.94
-6.74,-0.56,0.83,-1.38,-7.51,22.67,0.94
-6.78,-0.55,0.78,-1.34,-2.65,22.18,0.94
-6.83,-0.56,0.83,-1.38,-7.25,22.78,0.94
-6.72,-0.55,0.8,-1.35,-2.99,22.21,0.94
-6.71,-0.55,0.81,-1.36,-2.99,22.22,0.94
-6.68,-0.55,0.79,-1.35,-2.73,22.1,0.94
-6.71,-0.56,0.85,-1.4,-8.26,22.78,0.94
-6.66,-0.54,0.79,-1.34,-2.74,22.05,0.94
-6.6,-0.55,0.89,-1.43,-9.61,22.86,0.94
-6.67,-0.55,0.78,-1.35,-2.65,22.07,0.94
-6.72,-0.55,0.79,-1.37,-2.69,22.18,0.94
-6.55,-0.54,0.79,-1.35,-2.72,21.91,0.94
-6.75,-0.55,0.77,-1.33,-2.58,22.09,0.94
-6.73,-0.54,0.79,-1.35,-2.72,22.16,0.95
-6.73,-0.55,0.78,-1.33,-2.71,22.1,0.94
-6.73,-0.56,0.77,-1.34,-2.6,22.13,0.94
-6.87,-0.56,0.81,-1.37,-7.37,22.79,0.94
