Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
42.37,-0.92,-0.48,-13.56,2.72,7.74,0.73
72.36,-0.97,-0.47,-23.38,1.15,7.82,0.72
-0.24,-0.58,-0.48,-0.13,0.3,8.87,0.68
66.49,-0.99,-0.48,-21.48,0.65,8.01,0.75
58.29,-0.96,-0.46,-18.83,1.21,8.02,0.74
44.77,-0.93,-0.46,-14.34,1.81,7.78,0.74
54.51,-0.95,-0.48,-17.58,2.1,7.91,0.73
42.76,-0.91,-0.48,-13.73,3.39,7.79,0.72
50.78,-0.95,-0.47,-16.35,2.05,7.91,0.72
79.37,-0.97,-0.51,-25.8,0.12,8.23,0.74
65.34,-0.95,-0.53,-21.33,0.65,8.62,0.75
77.5,-0.96,-0.55,-25.14,0.8,7.99,0.73
0.09,-0.59,-0.42,-0.13,-0.43,8.61,0.67
-0.47,-0.59,-0.49,0.04,1.04,8.54,0.69
-0.07,-0.62,-0.43,-0.04,-0.4,8.6,0.67
58.09,-0.95,-0.53,-18.77,1.39,8.02,0.74
51.29,-0.95,-0.49,-16.49,2.64,7.82,0.73
42.13,-0.93,-0.47,-13.46,3.15,7.69,0.73
-0.36,-0.6,-0.47,-0.1,0.45,8.98,0.69
66.16,-0.97,-0.48,-21.44,0.82,8.16,0.74
41.01,-0.93,-0.51,-13.27,2.54,8.28,0.75
-0.06,-0.6,-0.45,-0.14,-0.55,8.85,0.69
-0.17,-0.6,-0.46,-0.19,-0.34,9.13,0.71
-0.35,-0.6,-0.47,-0.06,0.65,8.77,0.68
61.68,-0.98,-0.47,-19.87,0.94,7.85,0.72
-0.15,-0.63,-0.42,-0.08,-0.08,8.79,0.69
0.03,-0.59,-0.47,-0.16,-0.21,8.76,0.68
0.14,-0.61,-0.45,-0.12,-0.72,8.58,0.68
54.66,-0.94,-0.48,-17.6,2.37,7.8,0.72
-0.19,-0.6,-0.46,-0.09,0.22,8.78,0.69
44.67,-0.92,-0.48,-14.3,2.66,7.69,0.73
56.52,-0.96,-0.49,-18.23,2.21,7.91,0.73
44.14,-0.92,-0.51,-14.23,3.53,7.98,0.73
65.12,-0.97,-0.5,-21.07,1.51,8.01,0.73
31.72,-0.92,-0.44,-10.08,1.85,7.89,0.74
-0.31,-0.61,-0.46,-0.07,0.33,8.81,0.68
-0.04,-0.59,-0.45,-0.1,-0.01,8.62,0.68
59.59,-0.96,-0.49,-19.22,1.59,7.89,0.73
53.81,-0.95,-0.52,-17.33,1.89,7.87,0.74
56.04,-0.95,-0.5,-18.03,1.65,7.79,0.73
-0.25,-0.58,-0.5,-0.08,0.61,8.7,0.68
-0.09,-0.61,-0.47,-0.14,-0.07,8.83,0.67
0.04,-0.59,-0.44,-0.14,-0.17,8.65,0.67
45.51,-0.92,-0.5,-14.69,1.59,8.13,0.74
44.88,-0.94,-0.48,-14.49,1.96,8.19,0.74
-0.37,-0.61,-0.44,-0.12,0.22,9.08,0.69
69.62,-0.94,-0.55,-22.61,1.8,8.08,0.74
67.91,-0.98,-0.52,-21.93,2.02,7.81,0.72
66.77,-0.98,-0.49,-21.64,0.9,8.17,0.74
40.69,-0.96,-0.43,-13.01,2.76,7.86,0.75
0.14,-0.6,-0.46,-0.13,-0.53,8.59,0.67
65.86,-0.97,-0.49,-21.29,1.55,7.93,0.73
55.48,-0.96,-0.48,-17.91,2.91,7.93,0.74
54.3,-0.93,-0.52,-17.63,2.01,8.26,0.74
0.08,-0.6,-0.48,-0.16,-0.55,8.77,0.69
-0.26,-0.61,-0.47,-0.07,0.3,8.8,0.68
74.25,-0.95,-0.53,-24.1,1.1,8.04,0.74
44.93,-0.92,-0.48,-14.37,2.45,7.68,0.73
68.72,-0.96,-0.52,-22.26,1.91,7.94,0.73
36.63,-0.91,-0.47,-11.64,2.53,7.64,0.74
54.49,-0.96,-0.48,-17.57,2.88,7.9,0.74
69.78,-0.94,-0.51,-22.61,0.59,8.01,0.72
-0.14,-0.6,-0.47,-0.12,0.17,8.79,0.68
-0.07,-0.62,-0.46,-0.05,-0.24,8.63,0.69
72.31,-0.99,-0.55,-23.45,2.2,8.05,0.74
-0.16,-0.59,-0.47,-0.12,0.18,8.79,0.67
-0.31,-0.59,-0.5,-0.14,0.01,9.05,0.7
-0.3,-0.62,-0.45,-0.06,0.3,8.82,0.69
39.35,-0.9,-0.48,-12.67,2.31,8.07,0.74
-0.11,-0.59,-0.46,-0.13,-0.03,8.8,0.69
-0.28,-0.6,-0.47,-0.12,0.22,8.97,0.69
-0.65,-0.6,-0.5,-0.09,1.1,9.24,0.7
71.81,-0.98,-0.5,-23.3,0.92,8.17,0.75
62.61,-0.96,-0.52,-20.38,0.37,8.48,0.75
-0.13,-0.56,-0.47,-0.1,0.36,8.63,0.68
55.37,-0.94,-0.5,-17.84,2.35,7.82,0.73
-0.17,-0.6,-0.43,-0.04,0.16,8.6,0.66
49.65,-0.95,-0.5,-15.96,2.36,7.86,0.73
42.46,-0.96,-0.42,-13.57,1.91,7.87,0.75
33.46,-0.92,-0.45,-10.67,2.7,7.9,0.73
72.35,-0.99,-0.45,-23.5,-0.94,8.39,0.76
66.53,-0.98,-0.48,-21.5,1.82,7.91,0.73
-0.14,-0.59,-0.46,-0.16,-0.34,8.96,0.69
53.87,-0.94,-0.49,-17.36,2.35,7.87,0.73
60.89,-0.93,-0.51,-19.76,1.14,8.21,0.73
67.79,-0.94,-0.52,-21.96,1.19,7.99,0.73
-0.14,-0.61,-0.46,-0.11,0,8.8,0.68
-0.08,-0.59,-0.48,-0.11,0.01,8.69,0.67
57.69,-0.96,-0.49,-18.63,1.95,7.97,0.73
-0.05,-0.58,-0.48,-0.09,-0.03,8.54,0.68
55.54,-0.96,-0.48,-17.87,2.45,7.79,0.73
50.98,-0.95,-0.45,-16.34,2.06,7.69,0.72
75.33,-0.96,-0.53,-24.4,1.3,7.89,0.74
58.68,-0.93,-0.5,-18.95,1.06,7.9,0.73
32.79,-0.92,-0.44,-10.37,2.51,7.67,0.75
48.64,-0.94,-0.48,-15.62,2.59,7.79,0.73
-0.66,-0.6,-0.52,-0.06,1.03,9.14,0.69
-0.18,-0.59,-0.5,-0.08,0.28,8.67,0.68
36.18,-0.9,-0.47,-11.51,3.09,7.66,0.73
-0.19,-0.58,-0.48,-0.13,0.26,8.81,0.68
65.88,-0.96,-0.49,-21.31,0.21,8.04,0.73
51.41,-0.95,-0.46,-16.52,1.88,7.83,0.74
51.86,-0.97,-0.43,-16.68,1.11,7.99,0.75
-0.33,-0.62,-0.5,-0.13,-0.03,9.14,0.71
66.11,-0.95,-0.5,-21.38,2.14,7.87,0.71
53.87,-0.96,-0.54,-17.46,2.61,8.23,0.74
71.24,-0.99,-0.52,-23.06,1.65,7.97,0.72
56.91,-0.93,-0.52,-18.33,1.58,7.8,0.73
57.05,-0.99,-0.5,-18.44,4.03,7.99,0.73
52.53,-0.94,-0.47,-16.93,2.19,7.91,0.73
38.16,-0.94,-0.49,-12.17,3.55,7.72,0.73
59.23,-0.96,-0.48,-19.11,1.95,7.91,0.74
-0.43,-0.61,-0.52,-0.13,0.2,9.2,0.71
-0.16,-0.6,-0.46,-0.08,0.1,8.69,0.68
-0.24,-0.6,-0.48,-0.08,0.08,8.77,0.69
34.91,-0.92,-0.49,-11.13,3.11,7.78,0.74
41.12,-0.94,-0.44,-13.19,2.82,7.93,0.74
-0.2,-0.57,-0.46,-0.11,0.21,8.76,0.68
-0.42,-0.59,-0.52,-0.16,0.52,9.18,0.69
49.7,-0.94,-0.48,-16,2.22,7.9,0.73
0.02,-0.6,-0.43,-0.1,-0.28,8.6,0.68
60.75,-0.97,-0.47,-19.61,1.92,7.91,0.73
-0.37,-0.61,-0.47,-0.03,0.92,8.73,0.68
45.52,-0.95,-0.49,-14.62,3.74,7.81,0.73
65.33,-0.97,-0.48,-21.12,0.83,7.98,0.73
45.55,-0.92,-0.48,-14.63,2.97,7.79,0.74
87.68,-1,-0.49,-28.46,0.25,8.09,0.72
48.45,-0.94,-0.48,-15.6,3.14,7.87,0.73
79.11,-0.98,-0.54,-25.67,1.52,7.99,0.72
72.34,-0.99,-0.49,-23.38,1.57,7.87,0.72
57.35,-0.96,-0.48,-18.49,2.25,7.85,0.73
59.29,-0.97,-0.48,-19.09,2.49,7.75,0.73
-0.29,-0.59,-0.48,-0.18,0.12,9.17,0.69
53.61,-0.94,-0.46,-17.27,1.74,7.88,0.72
47.37,-0.95,-0.47,-15.16,2.93,7.68,0.73
0.15,-0.59,-0.44,-0.17,-0.58,8.7,0.69
65.96,-0.98,-0.48,-21.33,1.31,7.99,0.73
0.07,-0.63,-0.44,-0.12,-0.89,8.75,0.7
73.15,-1,-0.48,-23.73,0.58,8.21,0.75
29.33,-0.91,-0.47,-9.42,2.37,8.23,0.75
-0.4,-0.56,-0.52,-0.11,0.89,8.89,0.7
0.14,-0.6,-0.48,-0.18,-0.64,8.74,0.69
-0.29,-0.62,-0.43,-0.16,-0.21,9.2,0.7
