,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
0,0.0976,0.7168,-0.7361,1.647,0.6293
1,0.0963,0.719,-0.8041,1.5962,0.6374
2,0.0971,0.7193,-0.751,1.647,0.6278
3,0.0986,0.7179,-0.7341,1.6536,0.6099
4,0.0964,0.7185,-0.7476,1.6459,0.6265
5,0.0975,0.7163,-0.7388,1.643,0.617
6,0.0993,0.7158,-0.7244,1.6554,0.6048
7,0.0979,0.7186,-0.7413,1.6492,0.6293
8,0.0977,0.7176,-0.7293,1.6501,0.6084
9,0.0967,0.7178,-0.7381,1.6497,0.6203
10,0.0989,0.7165,-0.7241,1.6529,0.6246
11,0.0968,0.7199,-0.7335,1.6685,0.6148
12,0.0989,0.7174,-0.7288,1.6486,0.6228
13,0.0961,0.7184,-0.8376,1.5739,0.6335
14,0.0979,0.7166,-0.7316,1.6462,0.6103
15,0.0974,0.7182,-0.7324,1.6572,0.621
16,0.0986,0.7181,-0.7378,1.6474,0.6268
17,0.0981,0.718,-0.7958,1.6001,0.622
18,0.1,0.718,-0.7193,1.6618,0.6228
19,0.0988,0.7158,-0.7167,1.6558,0.6086
20,0.0977,0.7172,-0.7385,1.6508,0.596
21,0.0991,0.7161,-0.7377,1.6506,0.5964
22,0.0983,0.7199,-0.7288,1.662,0.6423
23,0.0952,0.7184,-0.7639,1.6423,0.6187
24,0.0978,0.7178,-0.75,1.6501,0.615
25,0.0986,0.7173,-0.7491,1.632,0.6268
26,0.0982,0.7168,-0.7166,1.6652,0.6215
27,0.0988,0.7186,-0.728,1.653,0.6158
28,0.0966,0.7169,-0.7546,1.6478,0.6191
29,0.0982,0.7171,-0.7397,1.6454,0.6359
30,0.0982,0.7174,-0.7331,1.6549,0.628
31,0.0984,0.7172,-0.7353,1.6464,0.6243
32,0.0982,0.7179,-0.7395,1.6507,0.6324
33,0.0976,0.7182,-0.7831,1.6048,0.6149
34,0.0988,0.7179,-0.7261,1.6626,0.6223
35,0.0967,0.7191,-0.7687,1.6403,0.625
36,0.0971,0.7184,-0.7709,1.6269,0.6271
37,0.099,0.7171,-0.7073,1.6651,0.6193
38,0.0979,0.7187,-0.7441,1.6513,0.6247
39,0.0968,0.7187,-0.769,1.6325,0.6242
40,0.0962,0.7167,-0.7577,1.6468,0.6194
41,0.0983,0.7168,-0.7375,1.647,0.6291
42,0.098,0.7173,-0.7343,1.6565,0.6227
43,0.0974,0.7185,-0.7431,1.6513,0.6338
44,0.0964,0.7184,-0.7411,1.6611,0.6266
45,0.0976,0.7168,-0.7195,1.6579,0.6163
46,0.0982,0.7184,-0.725,1.6557,0.6223
47,0.0989,0.7194,-0.7975,1.5965,0.6381
48,0.0982,0.7178,-0.7476,1.6391,0.629
49,0.098,0.7183,-0.7657,1.6313,0.6195
50,0.098,0.7161,-0.7244,1.6576,0.613
51,0.0968,0.7188,-0.777,1.6325,0.6317
52,0.0972,0.7164,-0.7359,1.6556,0.6132
53,0.0992,0.7181,-0.7048,1.6671,0.623
54,0.0983,0.7178,-0.7414,1.6465,0.62
55,0.0988,0.7183,-0.7152,1.6484,0.6421
56,0.097,0.7167,-0.7383,1.6429,0.6289
57,0.0973,0.7183,-0.7757,1.6212,0.6316
58,0.0985,0.7185,-0.7742,1.6287,0.6283
59,0.098,0.7184,-0.7291,1.668,0.6245
60,0.0978,0.7176,-0.7445,1.6337,0.637
61,0.0987,0.718,-0.7541,1.637,0.6159
62,0.0991,0.7165,-0.7319,1.6451,0.6238
63,0.0984,0.718,-0.735,1.6445,0.6307
64,0.0983,0.7171,-0.7243,1.6622,0.6183
65,0.1,0.7168,-0.7254,1.6429,0.6299
66,0.0987,0.7198,-0.7219,1.6589,0.6389
67,0.0975,0.7171,-0.7487,1.646,0.6168
68,0.0976,0.7179,-0.7499,1.6506,0.6121
69,0.0976,0.7172,-0.7659,1.6304,0.6292
70,0.0956,0.7195,-0.7858,1.6227,0.637
71,0.0968,0.7175,-0.749,1.6464,0.6233
72,0.0983,0.7153,-0.7349,1.6394,0.6162
73,0.0996,0.7185,-0.7474,1.6267,0.6405
74,0.0988,0.7179,-0.7392,1.6463,0.6205
75,0.0985,0.7176,-0.7349,1.6495,0.6284
