,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
0,0.0556,0.9498,-0.1621,3.0392,2.3672
1,0.0551,0.9473,-0.1728,3.0392,2.3922
2,0.0559,0.9487,-0.1524,3.0388,2.3964
3,0.0559,0.9496,-0.1457,3.0387,2.432
4,0.0551,0.9457,-0.1777,3.0393,2.3642
5,0.056,0.9495,-0.1578,3.0389,2.3968
6,0.0557,0.9518,-0.1414,3.0389,2.4197
7,0.0554,0.955,-0.1542,3.0391,2.4093
8,0.0554,0.9502,-0.1497,3.039,2.41
9,0.0555,0.9487,-0.1726,3.0391,2.3786
10,0.0549,0.9487,-0.1777,3.0393,2.3794
11,0.0555,0.9515,-0.1689,3.039,2.4071
12,0.0551,0.9465,-0.164,3.0392,2.3567
13,0.0557,0.9504,-0.1522,3.0389,2.4042
14,0.0549,0.9456,-0.1832,3.0392,2.3659
15,0.0553,0.9484,-0.1629,3.0392,2.3874
16,0.0547,0.9495,-0.1645,3.0393,2.3945
17,0.0551,0.9474,-0.1722,3.0392,2.3656
18,0.0552,0.9506,-0.1553,3.0393,2.3769
19,0.0557,0.9516,-0.1401,3.039,2.4016
20,0.0557,0.95,-0.1613,3.039,2.3877
21,0.055,0.9459,-0.1407,3.039,2.3892
22,0.0553,0.9481,-0.1703,3.0392,2.3787
23,0.0556,0.9495,-0.158,3.039,2.3894
24,0.0551,0.9493,-0.1767,3.0393,2.3741
25,0.0557,0.9533,-0.1696,3.0392,2.3831
26,0.0552,0.9509,-0.1652,3.0391,2.3742
27,0.056,0.9504,-0.1683,3.0391,2.3846
28,0.0554,0.946,-0.1618,3.0389,2.4012
29,0.0555,0.9511,-0.1536,3.0391,2.3924
30,0.0554,0.948,-0.1722,3.039,2.3918
31,0.0548,0.9438,-0.1867,3.0391,2.388
32,0.056,0.9456,-0.1236,3.0388,2.4036
33,0.0557,0.9528,-0.174,3.0392,2.3764
34,0.0556,0.9492,-0.164,3.0391,2.3858
35,0.0562,0.9526,-0.131,3.0387,2.4167
36,0.0556,0.9508,-0.153,3.039,2.3847
37,0.0559,0.9564,-0.1602,3.0389,2.4368
38,0.0557,0.952,-0.1464,3.039,2.4033
39,0.0556,0.9507,-0.1614,3.039,2.3988
40,0.0548,0.9487,-0.1761,3.0393,2.364
41,0.0559,0.9483,-0.1714,3.039,2.397
42,0.0562,0.9537,-0.1576,3.039,2.3854
43,0.0558,0.9511,-0.1426,3.039,2.3931
44,0.0558,0.9462,-0.1414,3.0389,2.399
45,0.0551,0.945,-0.178,3.0391,2.3793
46,0.0558,0.9519,-0.1402,3.039,2.4055
47,0.055,0.9488,-0.1784,3.0392,2.3851
48,0.0551,0.9475,-0.168,3.0391,2.3756
49,0.0557,0.9486,-0.1767,3.0389,2.4087
50,0.0552,0.949,-0.1654,3.039,2.395
51,0.0558,0.9509,-0.1561,3.039,2.3937
52,0.0557,0.952,-0.174,3.0391,2.3927
53,0.056,0.9474,-0.1491,3.0388,2.4022
54,0.0558,0.9494,-0.1462,3.0389,2.4077
55,0.0554,0.9528,-0.1717,3.0393,2.3815
56,0.0556,0.9489,-0.1624,3.0391,2.3833
57,0.0551,0.9513,-0.1669,3.0394,2.3575
58,0.0555,0.9511,-0.1597,3.039,2.3899
59,0.0559,0.9501,-0.1565,3.0388,2.4251
60,0.0559,0.9479,-0.1598,3.0389,2.3949
61,0.0559,0.9484,-0.155,3.0389,2.4033
62,0.0551,0.9495,-0.173,3.0392,2.3791
