,T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
0,0.0476,0.7223,-3.0153,-0.0964,1.3774
1,0.0464,0.7191,-2.9721,-0.0545,1.4452
2,0.0472,0.7217,-2.9952,-0.0864,1.3879
3,0.0469,0.7233,-2.9965,-0.0561,1.4246
4,0.047,0.7198,-3.0178,-0.1044,1.3509
5,0.0478,0.7207,-3.0118,-0.0942,1.3809
6,0.0472,0.7215,-3.007,-0.0883,1.3813
7,0.0472,0.7225,-3.0041,-0.0746,1.4019
8,0.0472,0.7186,-3.0252,-0.1201,1.3497
9,0.0465,0.7221,-2.9886,-0.043,1.4187
10,0.0467,0.7225,-3.0041,-0.0702,1.4056
11,0.0469,0.7254,-2.9885,-0.0394,1.4302
12,0.0476,0.7183,-2.9877,-0.0805,1.4016
13,0.0461,0.7177,-2.9599,-0.0517,1.403
14,0.046,0.7191,-3.0252,-0.1042,1.3518
15,0.0459,0.7208,-3.0121,-0.0841,1.3787
16,0.0482,0.7233,-3.0087,-0.0829,1.4149
17,0.0456,0.7191,-2.9641,-0.0389,1.4471
18,0.0473,0.7233,-2.9975,-0.0742,1.4033
19,0.0479,0.7254,-2.9894,-0.0543,1.4369
20,0.0473,0.7196,-3.0113,-0.0915,1.3803
21,0.047,0.7209,-2.9965,-0.0759,1.4049
22,0.0476,0.7222,-2.9965,-0.0655,1.403
23,0.0468,0.7193,-3.0222,-0.105,1.3604
24,0.0455,0.7162,-3.0159,-0.1136,1.3293
25,0.0471,0.7203,-3.0041,-0.0887,1.3722
26,0.0468,0.725,-2.9965,-0.0419,1.4469
27,0.047,0.7216,-2.9965,-0.0556,1.4173
28,0.0471,0.7188,-3.007,-0.0965,1.385
29,0.0465,0.724,-2.9993,-0.065,1.3827
30,0.0479,0.719,-2.9875,-0.0731,1.4019
31,0.0469,0.7209,-2.993,-0.0556,1.4167
32,0.0465,0.7198,-3.0038,-0.0722,1.3984
33,0.0461,0.7232,-2.9581,-0.0228,1.4627
34,0.0464,0.7232,-2.9913,-0.0476,1.3962
35,0.0465,0.7199,-3.015,-0.0845,1.3778
36,0.048,0.7198,-2.9673,-0.0651,1.4236
37,0.047,0.7214,-3.004,-0.0779,1.392
38,0.0462,0.7199,-3.0185,-0.087,1.3601
39,0.0466,0.719,-3.0224,-0.1072,1.3482
40,0.0477,0.7191,-3.0024,-0.0996,1.3742
41,0.0465,0.7211,-3.0073,-0.0694,1.3975
42,0.0473,0.7197,-3.0147,-0.0953,1.3795
43,0.0467,0.7205,-3.0071,-0.092,1.3599
44,0.0472,0.7217,-3.0007,-0.0748,1.4001
45,0.0471,0.7246,-3.0075,-0.0699,1.3836
46,0.0474,0.7178,-3.0038,-0.1051,1.3726
47,0.0458,0.7193,-2.9713,-0.0407,1.4589
48,0.0474,0.7214,-2.9959,-0.0794,1.3853
49,0.0454,0.7163,-2.9876,-0.0723,1.4008
50,0.0471,0.721,-2.9993,-0.0742,1.3803
51,0.046,0.7234,-2.9886,-0.0382,1.4138
52,0.047,0.7234,-2.9965,-0.0591,1.4014
53,0.047,0.7214,-3.004,-0.0779,1.392
54,0.0474,0.7203,-2.9989,-0.085,1.3957
55,0.0477,0.7189,-3.001,-0.0841,1.3814
56,0.0473,0.7257,-3.0075,-0.0712,1.4103
57,0.0462,0.7162,-2.9988,-0.0983,1.3796
58,0.0453,0.7192,-2.9726,-0.0543,1.4082
59,0.0467,0.7197,-3.007,-0.0834,1.3761
60,0.0467,0.7218,-2.9887,-0.0603,1.4132
61,0.047,0.7213,-3.0071,-0.0803,1.3889
62,0.048,0.7207,-3.0121,-0.0915,1.3901
63,0.0458,0.7227,-3.0118,-0.0771,1.3996
64,0.0477,0.7162,-3.019,-0.1236,1.3242
65,0.0467,0.7194,-3.007,-0.0834,1.3797
66,0.047,0.7207,-3.0118,-0.0818,1.3985
67,0.047,0.7205,-3.0189,-0.0911,1.3898
68,0.0467,0.7236,-2.9885,-0.0483,1.429
69,0.0481,0.7201,-3.0122,-0.1052,1.4149
70,0.0477,0.7171,-2.977,-0.075,1.4104
71,0.0472,0.7215,-3.0007,-0.0748,1.3996
72,0.0476,0.7234,-3.0009,-0.0684,1.4186
73,0.0472,0.7219,-3.0041,-0.0748,1.4006
74,0.0472,0.7194,-3.0073,-0.081,1.3811
75,0.0467,0.7253,-2.9686,-0.029,1.4348
76,0.0476,0.7224,-3.004,-0.089,1.4188
