,Unnamed: 0,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
2,353,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.5,1.0,CCCCC,0.5,306.0,Species,4.0,3.61,±1,Stanford,14.13,±3,OH,1303,±0.7,832
3,71,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.79,0.18,CCCCCCCCCCCC,0.21,430.0,Speceis,21.0,4.51,±9.3,Stanford,15.3,,CH,1351,±1,233
5,41,n_Dodecane_Nano,N2,99.21,1.0,CCCCCCCCCCCC,0.04,430.0,Speceis,0.75,2.17,,Stanford,15.3,,CH,1536,,140
7,45,n_Alkane_Oxidation,Ar,99.51,1.0,CCCCCCCCCC,0.03,431.0,Species,0.47,2.08,,Stanford,8.9,±5,CH,1661, ±1.5,87
12,154,n_Dodecane_Nano,N2,99.2,1.0,CCCCCCCCCCCC,0.05,430.0,Speceis,0.75,2.26,,Stanford,15.3,,CH,1450,,461
14,178,n_Alkane_Oxidation,Ar,99.51,1.0,CCCCCCCCCC,0.03,431.0,Species,0.47,2.19,,Stanford,8.9,±5,CH,1479, ±1.5,375
18,359,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.79,0.18,CCCCCCCCCCCC,0.21,430.0,Speceis,21.0,4.0,±9.3,Stanford,15.3,,CH,1078,±1,5605
19,125,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.59,0.36,CCCCCCCCCCCC,0.41,430.0,Speceis,21.0,4.87,±9.3,Stanford,15.3,,CH,976,±1,6220
23,194,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306.0,Species,20.89,20.8,,Stanford,5.0,±5,OH,1177,±1,165
25,380,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,4.11,,Stanford,15.3,±5,CH,1463,±1,103
34,188,n_Dodecane / Vasu_2010_thesis,N2,78.11,1.0,CCCCCCCCCCCC,1.12,306.0,Species,20.77,20.6,,Stanford,5.0,±5,OH,1135,±1,178
35,135,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,2.13,,Stanford,15.3,±5,CH,1455,±1,165
36,173,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306.0,Species,4.0,1.98,±1,Stanford,14.13,±3,OH,1307,±0.7,663
