,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
0,-6.299,-0.6177,0.7745,-1.5434,-1.97,21.9665,0.9625
1,-6.3878,-0.5963,0.8244,-1.4982,-2.7118,22.1085,0.9573
2,-6.2362,-0.6116,0.7803,-1.5282,-2.1913,21.876,0.9627
3,-6.3406,-0.6208,0.7759,-1.5386,-2.0973,22.0292,0.9637
4,-6.2565,-0.623,0.7897,-1.5573,-2.2453,21.993,0.9631
5,-6.4593,-0.6408,0.8,-1.5681,-2.0195,22.2997,0.9635
6,-6.2414,-0.6212,0.78,-1.5391,-2.0956,21.8903,0.9619
7,-6.2998,-0.6142,0.7711,-1.522,-2.1997,21.9445,0.9636
8,-6.2546,-0.6248,0.7865,-1.5568,-2.1927,21.978,0.9632
9,-6.2303,-0.6198,0.792,-1.5634,-2.2785,21.9788,0.962
10,-6.2232,-0.6141,0.7934,-1.5505,-2.2216,21.9246,0.9624
11,-6.4431,-0.6258,0.7645,-1.5246,-2.1094,22.134,0.964
12,-6.2343,-0.6114,0.7821,-1.5293,-2.1717,21.8738,0.9622
13,-6.4414,-0.5978,0.8198,-1.4813,-2.6915,22.1384,0.9564
14,-6.1528,-0.6173,0.7874,-1.551,-2.2154,21.8211,0.963
15,-6.3119,-0.6142,0.778,-1.5321,-2.152,21.9782,0.9632
16,-6.2864,-0.6181,0.7768,-1.5483,-2.1162,21.9858,0.9628
17,-6.3221,-0.5945,0.8139,-1.4806,-2.614,21.945,0.9573
18,-6.3144,-0.6091,0.7785,-1.5372,-2.0752,21.9845,0.9631
19,-6.3891,-0.6309,0.8067,-1.544,-2.3638,22.1971,0.9687
20,-6.1909,-0.6177,0.7815,-1.5462,-2.0702,21.8385,0.9634
21,-6.2311,-0.6104,0.7951,-1.5364,-2.1972,21.8947,0.9612
22,-6.3393,-0.6153,0.7472,-1.509,-1.958,21.9121,0.9648
23,-6.4093,-0.6409,0.8008,-1.5789,-2.2451,22.288,0.9623
24,-6.3978,-0.608,0.7858,-1.5284,-2.2245,22.1053,0.9629
25,-6.323,-0.6088,0.7798,-1.5344,-2.1333,21.9908,0.9639
26,-6.304,-0.623,0.7771,-1.549,-2.0409,22.0111,0.9625
27,-6.4138,-0.6226,0.7689,-1.5295,-2.1162,22.1096,0.9634
28,-6.3996,-0.616,0.7965,-1.5435,-2.1902,22.1557,0.961
29,-6.2577,-0.6123,0.7827,-1.5406,-2.1438,21.9245,0.9611
