,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
0,67.136,-0.9969,-0.4781,-21.6834,2.3344,7.8677,0.728
1,41.2069,-0.9488,-0.5057,-13.2894,4.8991,8.0324,0.7335
2,57.8196,-0.9402,-0.5083,-18.7394,1.5395,8.1654,0.735
3,67.28,-0.9515,-0.5166,-21.7655,1.5187,7.9055,0.7236
4,57.5595,-0.9484,-0.4872,-18.5786,1.4971,7.9404,0.7228
5,66.4275,-0.9738,-0.5023,-21.4521,2.0287,7.8236,0.7363
6,74.8413,-0.966,-0.5336,-24.2387,1.4769,7.9005,0.7232
7,73.418,-0.9875,-0.5053,-23.7513,1.2691,7.913,0.7241
8,52.4323,-0.9608,-0.5168,-16.9759,2.2232,8.2372,0.7482
9,68.4829,-0.9827,-0.5214,-22.1628,1.7448,7.9747,0.738
10,54.5745,-1.0027,-0.4776,-17.6363,4.7698,8.0658,0.7491
11,72.8172,-0.9713,-0.5028,-23.5853,1.19,7.9753,0.7296
12,61.1978,-0.9827,-0.4706,-19.7573,2.9632,7.884,0.7307
13,53.7271,-0.9509,-0.4685,-17.3322,1.8508,7.9852,0.7345
14,69.7925,-0.9496,-0.575,-22.7615,0.9405,8.4725,0.7411
15,84.0281,-0.9922,-0.5114,-27.1864,0.8273,7.7586,0.7168
16,63.2465,-0.9869,-0.4942,-20.4878,3.3121,8.0675,0.7355
17,68.2228,-0.9646,-0.4937,-22.1484,1.1266,8.2152,0.7376
18,35.044,-0.9133,-0.4454,-11.1977,1.8206,7.9176,0.7298
19,54.884,-0.9433,-0.4959,-17.7121,1.6748,7.9619,0.7321
20,53.1082,-0.9513,-0.4905,-17.1248,2.4068,7.9372,0.7283
21,47.6058,-0.897,-0.4869,-15.4255,1.2896,8.2095,0.7389
22,43.78,-0.9299,-0.4994,-14.0748,3.9531,7.8529,0.7285
23,66.1229,-0.9569,-0.5067,-21.4051,0.687,8.064,0.74
24,52.4011,-0.9376,-0.4923,-16.8933,1.4713,7.9423,0.7304
25,55.4255,-0.97,-0.439,-17.8176,1.5923,7.8319,0.7311
26,49.2467,-0.9519,-0.4939,-15.8411,2.9596,7.8696,0.7354
27,60.1042,-0.966,-0.5163,-19.4269,2.4442,7.9624,0.7357
28,43.3388,-0.8962,-0.5057,-13.9783,1.8035,8.0437,0.7239
29,63.818,-0.9706,-0.5281,-20.6312,2.1324,7.944,0.732
30,62.9814,-0.9566,-0.5017,-20.3788,1.8639,7.99,0.7289
31,72.4727,-1.0211,-0.5152,-23.5369,3.2928,8.1883,0.7367
32,54.9279,-0.9207,-0.4726,-17.7723,0.8438,8.1175,0.7357
33,77.7404,-0.9955,-0.5025,-25.1923,1.4411,7.9774,0.7255
34,55.0057,-0.9664,-0.4729,-17.7526,1.8957,8.0114,0.7279
35,23.6968,-0.8882,-0.5109,-7.4769,3.2933,7.8662,0.7554
36,63.2541,-0.9781,-0.4836,-20.4476,1.6591,7.9877,0.735
37,87.2627,-0.9898,-0.5036,-28.2478,0.8121,7.7584,0.718
38,60.5433,-0.9566,-0.4677,-19.5529,1.6039,7.94,0.7267
39,61.2841,-0.9586,-0.4856,-19.7929,1.9042,7.9051,0.7291
40,58.8212,-0.9573,-0.4867,-19.0038,0.5995,8.0411,0.7337
41,55.8604,-0.9478,-0.4965,-18.055,1.493,8.0729,0.7557
42,59.4135,-0.9847,-0.4479,-19.116,1.8833,7.802,0.7285
43,44.8991,-0.938,-0.4961,-14.4324,2.5172,7.9179,0.735
44,41.426,-0.919,-0.5235,-13.3342,3.3534,7.9691,0.7284
45,70.7864,-0.9843,-0.4934,-22.9305,0.2094,8.1231,0.731
46,72.7863,-0.9935,-0.4905,-23.5051,1.8559,7.7773,0.7201
47,45.855,-0.9173,-0.5015,-14.7741,2.4377,7.9558,0.7361
48,46.32,-0.9224,-0.5176,-14.987,1.9332,8.2055,0.7329
49,99.695,-0.9902,-0.5615,-32.5422,-0.9622,8.4967,0.7548
50,41.7636,-0.9377,-0.4774,-13.3584,2.6436,7.7975,0.735
51,58.1756,-0.9577,-0.4889,-18.7868,2.1488,7.945,0.734
52,72.354,-0.9702,-0.5346,-23.4847,1.7004,8.088,0.7353
53,46.0815,-0.9112,-0.5013,-14.8577,2.5114,7.9653,0.7216
54,54.1759,-0.9329,-0.4559,-17.4492,1.7615,7.8291,0.7288
55,81.3276,-1.0166,-0.4839,-26.3306,1.6782,7.8934,0.7237
56,73.2134,-0.9858,-0.483,-23.6944,1.1741,7.9545,0.7292
57,55.3893,-0.9566,-0.4717,-17.8674,1.3175,7.9774,0.7227
58,61.68,-0.9632,-0.4862,-19.9361,1.4999,7.9863,0.7308
59,63.7059,-0.9391,-0.4961,-20.5887,1.2861,7.8847,0.7248
60,66.255,-0.9545,-0.4952,-21.4837,0.7562,8.1581,0.7355
61,44.8976,-0.9226,-0.4821,-14.3609,2.7542,7.6441,0.732
62,59.6547,-0.9545,-0.4888,-19.2639,2.6888,7.8798,0.7295
63,56.4314,-0.9613,-0.493,-18.1922,1.957,7.9081,0.7287
64,48.4086,-0.9216,-0.5147,-15.6214,2.6345,7.9811,0.7221
65,58.5786,-0.964,-0.488,-18.9083,0.5543,8.0185,0.734
66,42.5358,-0.92,-0.4865,-13.6125,3.3867,7.6985,0.7197
67,67.913,-0.9497,-0.506,-21.9789,1.3018,7.925,0.7248
68,56.4826,-0.949,-0.4846,-18.2076,1.8795,7.8644,0.7229
69,57.6164,-0.9701,-0.4838,-18.5877,2.2151,7.9238,0.7273
70,52.8797,-0.9258,-0.4825,-17.0213,1.6478,7.8269,0.7329
71,61.5384,-0.9452,-0.4977,-19.8978,1.5323,7.9616,0.7287
72,71.9533,-0.978,-0.4895,-23.3485,1.1207,8.1428,0.7381
73,56.7123,-0.9691,-0.4882,-18.3057,2.5035,7.9554,0.733
74,58.7733,-0.9634,-0.5265,-18.9204,2.7999,7.7384,0.7336
75,72.7173,-0.9759,-0.4967,-23.5464,1.1957,7.9829,0.7276
76,62.9541,-0.9788,-0.4571,-20.371,1.0829,8.116,0.7473
77,74.4163,-0.9703,-0.5258,-24.1342,1.498,8.016,0.7345
78,58.2627,-0.9712,-0.4617,-18.7244,1.3873,7.7613,0.7294
79,64.7111,-0.9614,-0.5149,-20.9211,1.7034,7.9319,0.7383
80,66.7401,-0.9929,-0.4919,-21.5815,2.813,7.9257,0.7226
81,36.6974,-0.9184,-0.4384,-11.7154,2.4075,7.8498,0.7422
82,73.3084,-0.9802,-0.4994,-23.7087,1.5907,7.8411,0.7261
83,56.0452,-0.9325,-0.5283,-18.2091,1.4248,8.3222,0.7405
84,70.5753,-0.9764,-0.5053,-22.8188,2.1444,7.8294,0.7178
85,61.8272,-0.9502,-0.5153,-19.9593,1.7926,7.8601,0.7326
86,59.5473,-0.964,-0.4852,-19.2274,1.6369,7.9587,0.727
87,73.7514,-0.9891,-0.4948,-23.9222,-0.5084,8.2619,0.7602
88,55.1207,-0.9625,-0.4687,-17.7289,2.175,7.79,0.729
89,39.4891,-0.9184,-0.4756,-12.6296,2.3526,7.846,0.7338
90,60.3855,-0.9587,-0.4872,-19.5048,1.3268,7.9721,0.7232
