,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
0,-7.2,-0.4021,0.7171,-1.4562,-9.1957,22.5951,0.9157
1,-7.8351,-0.4482,0.6598,-1.4828,-13.7406,23.6507,0.8979
2,-6.9881,-0.4229,0.6908,-1.4146,-9.4171,22.2779,0.9068
3,-7.1311,-0.4346,0.7523,-1.4565,-9.3419,22.72,0.9159
4,-6.9017,-0.4186,0.782,-1.4691,-9.7831,22.5381,0.9082
5,-6.9662,-0.4325,0.7538,-1.4256,-8.8483,22.4499,0.9195
6,-6.953,-0.4368,0.798,-1.4714,-9.759,22.7,0.9113
7,-7.1294,-0.4296,0.745,-1.4534,-9.3945,22.679,0.9166
8,-6.926,-0.4344,0.7733,-1.4453,-9.6344,22.5559,0.9136
9,-6.7882,-0.4659,0.7472,-1.3568,-9.7352,22.2949,0.9303
10,-6.8684,-0.4496,0.7924,-1.4543,-9.44,22.5712,0.9145
11,-6.9863,-0.3927,0.7592,-1.5114,-9.5009,22.4985,0.9189
12,-7.0442,-0.4455,0.7716,-1.4655,-10.0187,22.7638,0.906
13,-8.3574,-0.5385,0.4799,-1.3058,-11.5576,23.6627,0.8859
14,-6.9603,-0.4359,0.7716,-1.4589,-9.7379,22.5971,0.9141
15,-6.6156,-0.4042,0.9633,-1.6389,-13.8633,23.0913,0.9185
16,-7.0365,-0.4174,0.8076,-1.5031,-9.7069,22.7977,0.9171
17,-8.0167,-0.4459,0.6086,-1.452,-13.2106,23.6398,0.8964
18,-6.7442,-0.441,1.0086,-1.6284,-10.0918,23.2692,0.9264
19,-6.9027,-0.4228,0.8447,-1.5242,-10.0903,22.8076,0.9169
20,-7.0311,-0.4299,0.7195,-1.42,-9.203,22.4289,0.9142
21,-6.9252,-0.4309,0.7867,-1.4709,-9.7898,22.6039,0.9133
22,-7.0482,-0.4398,0.7136,-1.4037,-8.9365,22.4269,0.9094
23,-6.8195,-0.4384,0.8172,-1.4832,-10.0634,22.6251,0.9149
24,-6.4987,-0.4243,1.0038,-1.6465,-13.5036,23.0847,0.9165
25,-6.8101,-0.4508,0.8387,-1.4901,-9.8552,22.6954,0.9156
26,-7.1768,-0.4318,0.7538,-1.4692,-9.0814,22.7671,0.9203
27,-7.0147,-0.431,0.7033,-1.3993,-9.1033,22.3324,0.9129
28,-6.9408,-0.4339,0.7976,-1.4716,-9.8152,22.6836,0.9128
29,-6.9178,-0.4202,0.7862,-1.4828,-9.8805,22.5762,0.9046
30,-7.497,-0.4703,0.5757,-1.315,-8.0335,22.4944,0.9052
31,-7.0078,-0.4229,0.8192,-1.5248,-9.9194,22.8503,0.9129
32,-6.8088,-0.4541,0.7855,-1.4273,-9.3742,22.4613,0.9115
33,-7.8456,-0.4091,0.6055,-1.4765,-13.3217,23.3346,0.8924
34,-6.848,-0.4136,0.7291,-1.4262,-9.4206,22.2093,0.9028
35,-6.9142,-0.457,0.7838,-1.4428,-9.2009,22.5972,0.9128
36,-8.2742,-0.5052,0.5141,-1.3235,-7.9997,23.3811,0.9087
37,-6.9544,-0.435,0.7758,-1.461,-9.6977,22.6026,0.9144
38,-6.6981,-0.4953,0.7623,-1.3485,-9.7966,22.3036,0.9347
39,-6.8812,-0.4632,0.7706,-1.396,-9.9451,22.5315,0.9287
40,-7.0271,-0.4611,0.7598,-1.4154,-9.0929,22.652,0.9095
41,-7.2871,-0.424,0.7239,-1.457,-9.1587,22.7759,0.9183
42,-7.0248,-0.4299,0.7234,-1.4184,-9.2121,22.4399,0.9151
43,-6.9096,-0.4546,0.8139,-1.4903,-9.9934,22.7531,0.9181
44,-6.9773,-0.4418,0.7631,-1.4488,-9.6766,22.5991,0.915
