,Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
0,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1,CCCCCCC,0.2,431,Species,2.2,2.07,,Stanford,15.3,±5,CH,1547,±1,100
1,n_Alkane_Oxidation,Ar,99.51,1,CCCCCCCCCC,0.03,431,Species,0.47,2.21,,Stanford,8.9,±5,CH,1525, ±1.5,154
2,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.06,,Stanford,15.3,±5,CH,1503,±1,100
5,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.23,,Stanford,15.3,±5,CH,1470, ±1.5,180
9,n_Alkane_Oxidation,Ar,99.15,0.7,CCCCCCCCCC,0.04,431,Species,0.81,1.61,,Stanford,8.9,±5,CH,1524, ±1.5,144
12,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.23,,Stanford,15.3,±5,CH,1396,±1,161
16,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,19.92,,Stanford,5,,OH,850,±1.8,1653
17,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,60,,Stanford,5,,OH,923,±1.8,244
18,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.22,,Stanford,15.3,±5,CH,1516, ±1.5,124
19,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.16,±1,Stanford,15.3,±5,CH,1517,±1,83
20,n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.14,,Stanford,8.9,±5,OH,1551,,207
22,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,26.9,,Stanford,5,±5,OH,818,±1,881
23,n_Alkane_Oxidation,Ar,99.58,1.2,CCCCCCCCCC,0.03,431,Species,0.39,2.25,,Stanford,8.9,±5,CH,1602, ±1.5,124
24,n_Alkane_Oxidation,Ar,99.63,1,CCCC,0.05,306.7,Speceis,0.33,2.06,,Stanford,8.9,±5,OH,1598,,144
25,n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,3.8,,Stanford,8.9,±5,OH,1649,,73
26,Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.08,±1,Stanford,15.3,±5,CH,1422,±1,131
28,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,53.9,,Stanford,5,,OH,909,±1.8,254
30,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.25,,Stanford,15.3,±5,CH,1476,±1,163
31,n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.25,,Stanford,15.3,,CH,1477,,216
32,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306,Species,4,1.69,±1,Stanford,14.13,±3,OH,1403,±0.7,196
34,n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430,Speceis,21,6.7,,Stanford,15.3,,CH,1249,,84
35,n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,3.75,,Stanford,8.9,±5,OH,1710,,49
36,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,20,,Stanford,5,,OH,806,±1.8,1377
37,n_Dodecane_Nano,N2,99.2,1,CCCCCCCCCCCC,0.05,430,Speceis,0.75,2.09,,Stanford,15.3,,CH,1612,,80
39,n_Dodecane / Vasu_2010_thesis,N2,78.11,1,CCCCCCCCCCCC,1.12,306,Species,20.77,23.3,,Stanford,5,±5,OH,822,±1,805
40,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.22,,Stanford,15.3,±5,CH,1492,±1,141
41,n_Dodecane_Nano,N2,99.21,1,CCCCCCCCCCCC,0.04,430,Speceis,0.75,2.17,,Stanford,15.3,,CH,1536,,140
42,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,25,,Stanford,5,±5,OH,806,±1,1522
44,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.2,,Stanford,15.3,±5,CH,1455,±1,86
45,n_Alkane_Oxidation,Ar,99.51,1,CCCCCCCCCC,0.03,431,Species,0.47,2.08,,Stanford,8.9,±5,CH,1661, ±1.5,87
47,n_Dodecane_Nano,N2,99.19,1,CCCCCCCCCCCC,0.05,430,Speceis,0.76,2.14,,Stanford,15.3,,CH,1618,,96
49,n_Dodecane / Vasu_2010_thesis,N2,78.55,0.5,CCCCCCCCCCCC,0.57,306,Species,20.89,26,,Stanford,5,±5,OH,747,±1,2243
50,Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.25,,Stanford,15.3,±5,CH,1501,±1,125
51,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.17,0.73,CCCCCCCCCCCC,0.83,430,Speceis,21,6.42,±9.3,Stanford,15.3,,CH,1284,±1,80
52,blend_surrogate_fuels,N2,77.53,1,CCCCCCC,1.87,306.7,Species,20.6,60.6,,Stanford,5,,OH,926,±1.8,233
