,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
0,97.6,1.0,CCCCCCC,0.2,2.2,2.07,1547,100
2,95.2,1.0,CCCCCCC,0.4,4.4,2.06,1503,100
5,90.8,0.5,CCCCCCC,0.4,8.8,1.23,1396,161
6,77.526,1.0,CCCCCCC,1.874,20.6,19.92,850,1653
7,77.526,1.0,CCCCCCC,1.874,20.6,60.0,923,244
10,99.64,1.0,CCCCCCC,0.03,0.33,2.14,1551,207
14,99.64,1.0,CCCCCCC,0.03,0.33,3.8,1649,73
16,77.526,1.0,CCCCCCC,1.874,20.6,53.9,909,254
17,95.24,0.9,CCCCCCC,0.36,4.4,1.25,1476,163
21,99.64,1.0,CCCCCCC,0.03,0.33,3.75,1710,49
22,77.526,1.0,CCCCCCC,1.874,20.6,20.0,806,1377
25,95.24,0.9,CCCCCCC,0.36,4.4,1.22,1492,141
28,90.8,0.5,CCCCCCC,0.4,8.8,1.2,1455,86
32,95.24,0.9,CCCCCCC,0.36,4.4,1.25,1501,125
34,77.526,1.0,CCCCCCC,1.874,20.6,60.6,926,233
48,90.0,1.5,CCCCCCC,1.2,8.8,1.23,1461,189
52,97.4,2.0,CCCCCCC,0.4,2.2,1.22,1676,147
60,95.2,1.0,CCCCCCC,0.4,4.4,2.14,1412,265
61,78.55,1.0,CCCCCCC,1.75,19.7,1.19,1329,382
64,99.64,1.0,CCCCCCC,0.03,0.33,2.282,1375,1661
67,95.2,1.0,CCCCCCC,0.4,4.4,5.63,1400,190
68,97.6,1.0,CCCCCCC,0.2,2.2,2.08,1501,150
71,77.526,1.0,CCCCCCC,1.874,20.6,53.1,1063,179
72,85.6,1.0,CCCCCCC,1.2,13.2,1.27,1409,179
76,95.2,1.0,CCCCCCC,0.4,4.4,5.68,1375,271
78,90.0,1.5,CCCCCCC,1.2,8.8,1.14,1465,189
83,95.2,1.0,CCCCCCC,0.4,4.4,2.13,1455,165
87,77.526,1.0,CCCCCCC,1.874,20.6,59.1,1027,237
89,95.2,1.0,CCCCCCC,0.4,4.4,2.08,1478,131
90,90.0,1.5,CCCCCCC,1.2,8.8,1.29,1411,311
100,77.526,1.0,CCCCCCC,1.874,20.6,10.25,1299,122
101,92.2,2.0,CCCCCCC,1.2,6.6,1.21,1516,205
107,77.526,1.0,CCCCCCC,1.874,20.6,50.0,1057,194
110,85.6,1.0,CCCCCCC,1.2,13.2,1.3,1335,466
117,95.2,1.0,CCCCCCC,0.4,4.4,2.15,1434,205
123,77.526,1.0,CCCCCCC,1.874,20.6,48.6,985,364
125,97.6,1.0,CCCCCCC,0.2,2.2,2.15,1432,345
128,95.2,1.0,CCCCCCC,0.4,4.4,5.65,1442,117
134,99.64,1.0,CCCCCCC,0.03,0.33,2.155,1494,1330
152,92.2,2.0,CCCCCCC,1.2,6.6,1.2,1456,361
162,97.4,2.0,CCCCCCC,0.4,2.2,1.26,1529,442
167,92.2,2.0,CCCCCCC,1.2,6.6,1.2,1423,486
168,99.64,1.0,CCCCCCC,0.03,0.33,2.86,1368,1810
