,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
1,99.505,1.0,CCCCCCCCCC,0.03,0.465,2.21,1525,154
3,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.23,1470,180
4,99.1505,0.7,CCCCCCCCCC,0.0365,0.813,1.61,1524,144
8,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.22,1516,124
12,99.5825,1.2,CCCCCCCCCC,0.03,0.3875,2.25,1602,124
29,99.505,1.0,CCCCCCCCCC,0.03,0.465,2.08,1661,87
47,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.24,1456,235
82,99.1512,0.68,CCCCCCCCCC,0.0358,0.813,1.68,1382,621
104,96.7,1.0,CCCCCCCCCC,0.2,3.1,2.28,1357,341
105,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.26,1397,480
106,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.23,1434,320
108,96.7,1.0,CCCCCCCCCC,0.2,3.1,1.24,1445,290
138,76.433,1.89,CCCCCCCCCC,2.567,21.0,4.93,1173,950
142,77.56,1.06,CCCCCCCCCC,1.44,21.0,5.14,1081,1696
148,77.506,1.1,CCCCCCCCCC,1.494,21.0,4.87,1131,1252
160,77.105,1.4,CCCCCCCCCC,1.895,21.0,5.15,1154,921
161,77.528,1.09,CCCCCCCCCC,1.472,21.0,4.56,1109,1358
