,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
0,90.8,0.5,CCCCCCC,0.4,8.8,1.21,1432,110
4,94.8,0.9,CCCCCCC,0.4,4.8,1.23,1491,137
7,90.8,0.5,CCCCCCC,0.4,8.8,1.32,1413,121
8,85.6,1.0,CCCCCCC,1.2,13.2,1.22,1455,115
12,85.6,1.0,CCCCCCC,1.2,13.2,1.19,1421,163
16,90.8,0.5,CCCCCCC,0.4,8.8,1.34,1345,305
26,77.526,1.0,CCCCCCC,1.874,20.6,1.89,1299,311
30,78.55,1.0,CCCCCCC,1.75,19.7,1.16,1330,382
41,97.6,1.0,CCCCCCC,0.2,2.2,2.13,1468,216
46,90.4,1.0,CCCCCCC,0.8,8.8,1.15,1378,385
49,85.6,1.0,CCCCCCC,1.2,13.2,1.2,1349,411
51,97.7,0.5,CCCCCCC,0.1,2.2,15.0,1271,377
53,97.7,0.5,CCCCCCC,0.1,2.2,15.28,1236,652
55,97.7,0.5,CCCCCCC,0.1,2.2,15.13,1229,708
58,95.2,1.0,CCCCCCC,0.4,4.4,1.23,1486,159
60,95.2,1.0,CCCCCCC,0.4,4.4,4.16,1413,183
67,99.64,1.0,CCCCCCC,0.03,0.33,2.436,1358,1280
68,77.526,1.0,CCCCCCC,1.874,20.6,1.85,1358,152
70,77.526,1.0,CCCCCCC,1.874,20.6,10.62,1305,117
73,99.64,1.0,CCCCCCC,0.03,0.33,2.326,1378,1330
75,77.526,1.0,CCCCCCC,1.874,20.6,57.7,1007,232
79,77.526,1.0,CCCCCCC,1.874,20.6,52.3,1115,102
81,95.2,1.0,CCCCCCC,0.4,4.4,2.12,1384,403
87,77.526,1.0,CCCCCCC,1.874,20.6,18.13,1012,944
93,77.526,1.0,CCCCCCC,1.874,20.6,11.8,1290,118
96,99.4,1.0,CCCCCCC,0.05,0.55,1.67,1461,366
98,77.526,1.0,CCCCCCC,1.874,20.6,53.6,1013,292
100,95.2,1.0,CCCCCCC,0.4,4.4,5.41,1419,158
101,90.0,1.5,CCCCCCC,1.2,8.8,1.27,1409,321
111,94.8,0.9,CCCCCCC,0.4,4.8,1.22,1438,238
112,77.526,1.0,CCCCCCC,1.874,20.6,16.72,1048,854
113,77.526,1.0,CCCCCCC,1.874,20.6,1.99,1378,117
119,94.8,0.9,CCCCCCC,0.4,4.8,1.15,1446,234
122,95.2,1.0,CCCCCCC,0.4,4.4,5.57,1372,279
125,95.2,1.0,CCCCCCC,0.4,4.4,5.69,1421,138
128,95.2,1.0,CCCCCCC,0.4,4.4,1.27,1458,208
