,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
119,95.8832,0.72,CCCCCCCCCCCCCCCC,0.1168,4.0,1.94,1266,1122
126,95.908,0.56,CCCCCCCCCCCCCCCC,0.092,4.0,2.06,1159,3870
131,98.9507,1.21,CCCCCCCCCCCCCCCC,0.0493,1.0,6.77,1333,917
133,95.871,0.79,CCCCCCCCCCCCCCCC,0.129,4.0,2.08,1165,4548
139,95.8429,0.96,CCCCCCCCCCCCCCCC,0.1571,4.0,2.03,1177,4778
141,98.9674,0.8,CCCCCCCCCCCCCCCC,0.0326,1.0,4.6,1170,5022
146,95.8224,1.09,CCCCCCCCCCCCCCCC,0.1776,4.0,2.13,1181,5536
147,98.9503,1.22,CCCCCCCCCCCCCCCC,0.0497,1.0,6.54,1267,1902
153,95.871,0.79,CCCCCCCCCCCCCCCC,0.129,4.0,2.08,1165,4548
169,98.9688,0.76,CCCCCCCCCCCCCCCC,0.0312,1.0,4.44,1172,4577
