,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
2,1.13081,0.0,8.14,0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,21.0,360.17,22.6,12.7
4,0.03578,20.0,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76,45.4
5,0.76162,20.0,3.97,0,0.647,5.56,62.8,1.9865,5,264,13.0,392.4,10.45,22.8
6,1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32,50.0
7,0.21977,0.0,6.91,0,0.4479999999999999,5.602,62.0,6.0877,3,233,17.9,396.9,16.2,19.4
8,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,29.6
9,0.05372,0.0,13.92,0,0.437,6.549,51.0,5.9604,4,289,16.0,392.85,7.39,27.1
10,0.06724,0.0,3.24,0,0.46,6.332999999999999,17.2,5.2146,4,430,16.9,375.21,7.34,22.6
11,0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.8
12,0.0454399999999999,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09,19.8
13,0.05646,0.0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2
14,1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437,21.2,396.9,34.41,14.4
15,0.04666,80.0,1.52,0,0.4039999999999999,7.107,36.6,7.309,2,329,12.6,354.31,8.61,30.3
16,0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54,42.8
17,0.06905,0.0,2.18,0,0.4579999999999999,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2
18,0.82526,20.0,3.97,0,0.647,7.327000000000001,94.5,2.0788,5,264,13.0,393.42,11.25,31.0
19,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5,22.0
21,0.22969,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.3549,4,277,18.6,394.87,10.97,24.4
22,0.04294,28.0,15.04,0,0.4639999999999999,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6
27,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.497999999999999,4,345,18.9,396.9,8.79,20.9
28,0.08199,0.0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16.0,396.9,10.4,21.7
29,0.17899,0.0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,23.1
31,0.77299,0.0,8.14,0,0.5379999999999999,6.495,94.4,4.4547,4,307,21.0,387.94,12.8,18.4
32,1.00245,0.0,8.14,0,0.5379999999999999,6.674,87.3,4.239,4,307,21.0,380.23,11.98,21.0
33,1.61282,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,248.31,20.34,13.5
34,0.01311,90.0,1.22,0,0.4029999999999999,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4
35,0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,23.8
36,1.38799,0.0,8.14,0,0.5379999999999999,5.95,82.0,3.99,4,307,21.0,232.6,27.71,13.2
