Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs),Unnamed: 18,Unnamed: 19
n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,3.75,,Stanford,8.9,±5,OH,1710,,49,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.32,,Stanford,15.3,±5,CH,1413,±1,121,,
n_Alkane_Oxidation,Ar,99.1505,0.7,CCCCCCCCCC,0.0365,431.0,Species,0.813,1.61,,Stanford,8.9,±5,CH,1524, ±1.5,144,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431.0,Species,4.4,1.25,,Stanford,15.3,±5,CH,1501,±1,125,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.1724,0.73,CCCCCCCCCCCC,0.8276,430.0,Speceis,21.0,6.42,±9.3,Stanford,15.3,,CH,1284,±1,80,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306.0,Species,4.0,1.62,±1,Stanford,14.13,±3,OH,1428,±0.7,153,,
n_Dodecane_Nano,N2,99.2,1.0,CCCCCCCCCCCC,0.05,430.0,Speceis,0.75,2.25,,Stanford,15.3,,CH,1477,,216,,
n_Alkane_Oxidation,Ar,99.625,1.0,CCCC,0.05,306.7,Speceis,0.325,2.06,,Stanford,8.9,±5,OH,1598,,144,,
n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.04,,Stanford,8.9,±5,OH,1640,,99,,
n_Dodecane_Nano,N2,99.212,1.0,CCCCCCCCCCCC,0.0428,430.0,Speceis,0.7452,2.13,,Stanford,15.3,,CH,1645,,91,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.23,,Stanford,15.3,±5,CH,1396,±1,161,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86.0,0.5,CCCC,1.0,431.0,Speceis,13.0,1.12,±1,Stanford,15.3,±5,CH,1389,±1,204,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86.0,0.5,CCCC,1.0,431.0,Speceis,13.0,1.11,±1,Stanford,15.3,±5,CH,1385,±1,206,,
n_Dodecane_Nano,N2,99.206,1.0,CCCCCCCCCCCC,0.044000000000000004,430.0,Speceis,0.75,2.17,,Stanford,15.3,,CH,1536,,140,,
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,22.5,,Stanford,5.0,±5,OH,869,±1,1040,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306.0,Species,4.0,1.69,±1,Stanford,14.13,±3,OH,1403,±0.7,196,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306.0,Species,4.0,2.01,±1,Stanford,14.13,±3,OH,1380,±0.7,220,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85.0,1.0,CCCC,2.0,431.0,Speceis,13.0,1.19,±1,Stanford,15.3,±5,CH,1490,±1,100,,
n_Dodecane_Nano,N2,78.61,0.34,CCCCCCCCCCCC,0.39,430.0,Speceis,21.0,7.53,,Stanford,15.3,,CH,1243,,130,,
n_Alkane_Oxidation,Ar,99.505,1.0,CCCCCCCCCC,0.03,431.0,Species,0.465,2.12,,Stanford,8.9,±5,CH,1574, ±1.5,119,,
n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.14,,Stanford,8.9,±5,OH,1551,,207,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,60.6,,Stanford,5.0,,OH,926,±1.8,233,,
n_Dodecane_Nano,N2,99.204,1.0,CCCCCCCCCCCC,0.046,430.0,Speceis,0.75,2.17,,Stanford,15.3,,CH,1607,,84,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1.0,CCCCCCC,0.4,431.0,Species,4.4,2.06,,Stanford,15.3,±5,CH,1503,±1,100,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.85700000000001,0.5,CCCCCCCCC,0.14300000000000002,306.0,Species,4.0,1.67,±1,Stanford,14.13,±3,OH,1403,±0.7,190,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431.0,Species,4.8,1.23,,Stanford,15.3,±5,CH,1491,±1,137,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431.0,Species,4.4,1.22,,Stanford,15.3,±5,CH,1492,±1,141,,
n_Alkane_Oxidation,Ar,99.3883,0.8,CCCCCCCCCC,0.03,431.0,Species,0.5817,2.11,,Stanford,8.9,±5,CH,1462, ±1.5,206,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.2428,0.67,CCCCCCCCCCCC,0.7572,430.0,Speceis,21.0,6.23,±9.3,Stanford,15.3,,CH,1249,±1,114,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86.0,0.5,CCCC,1.0,431.0,Speceis,13.0,1.07,±1,Stanford,15.3,±5,CH,1453,±1,96,,
n_Alkane_Oxidation,Ar,99.5825,1.2,CCCCCCCCCC,0.03,431.0,Species,0.3875,2.25,,Stanford,8.9,±5,CH,1602, ±1.5,124,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.01,1.75,CCCCCCCCCCCC,1.99,430.0,Speceis,21.0,6.46,±9.3,Stanford,15.3,,CH,988,±1,260,,
iso_octane_heptane,Ar,99.4,1.0,CCCCCCC,0.05,216.0,Species,0.55,1.61,,Stanford,15.3,,CH3,1546,±1,162,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1.0,CCCC,1.0,431.0,Speceis,6.5,1.13,±1,Stanford,15.3,±5,CH,1557,±1,87,,
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,25.9,,Stanford,5.0,±5,OH,855,±1,875,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306.0,Species,4.0,1.75,±1,Stanford,14.13,±3,OH,1397,±0.7,232,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306.0,Species,4.0,1.91,±1,Stanford,14.13,±3,OH,1434,±0.7,104,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.85700000000001,0.5,CCCCCCCCC,0.14300000000000002,306.0,Species,4.0,1.78,±1,Stanford,14.13,±3,OH,1399,±0.7,180,,
n_Dodecane_Nano,N2,99.20299999999999,1.0,CCCCCCCCCCCC,0.047,430.0,Speceis,0.75,2.09,,Stanford,15.3,,CH,1612,,80,,
n_Dodecane_Nano,N2,99.20299999999999,1.0,CCCCCCCCCCCC,0.047,430.0,Speceis,0.75,2.24,,Stanford,15.3,,CH,1528,,116,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,60.0,,Stanford,5.0,,OH,923,±1.8,244,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,19.92,,Stanford,5.0,,OH,850,±1.8,1653,,
n_Alkane_Oxidation,Ar,99.505,1.0,CCCCCCCCCC,0.03,431.0,Species,0.465,2.21,,Stanford,8.9,±5,CH,1525, ±1.5,154,,
n_Dodecane / Vasu_2010_thesis,N2,78.545,0.5,CCCCCCCCCCCC,0.565,306.0,Species,20.89,26.0,,Stanford,5.0,±5,OH,747,±1,2243,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.22,,Stanford,15.3,±5,CH,1516, ±1.5,124,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.3,,Stanford,15.3,±5,CH,1347,±1,286,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1.0,CCCCCCC,0.2,431.0,Species,2.2,2.07,,Stanford,15.3,±5,CH,1547,±1,100,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431.0,Species,4.4,1.25,,Stanford,15.3,±5,CH,1476,±1,163,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,76.862,1.88,CCCCCCCCCCCC,2.138,430.0,Speceis,21.0,5.04,±9.3,Stanford,15.3,,CH,979,±1,306,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431.0,Species,8.8,1.21,,Stanford,15.3,±5,CH,1432,±1,110,,
C1_C4_Alkanes,Ar,92.86,1.0,CCCC,0.95,430.0,Speceis,6.19,1.24,,Xi’an_Jiaotong,11.5,±2.36,CH,1585,±3,70,,
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,77.19800000000001,1.59,CCCCCCCCCCCC,1.8019999999999998,430.0,Speceis,21.0,6.31,±9.3,Stanford,15.3,,CH,939,±1,544,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,55.4,,Stanford,5.0,,OH,932,±1.8,323,,
n_Alkane_Oxidation,Ar,99.505,1.0,CCCCCCCCCC,0.03,431.0,Species,0.465,2.08,,Stanford,8.9,±5,CH,1661, ±1.5,87,,
n_heptane_oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,2.36,±1,Stanford,15.3,,OH,1506,±1,189,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,53.9,,Stanford,5.0,,OH,909,±1.8,254,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86.0,0.5,CCCC,1.0,431.0,Speceis,13.0,1.08,±1,Stanford,15.3,±5,CH,1422,±1,131,,
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1.0,CCCCCCCCCC,0.2,431.0,Species,3.1,1.23,,Stanford,15.3,±5,CH,1470, ±1.5,180,,
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1249,,84,,
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85.0,1.0,CCCC,2.0,431.0,Speceis,13.0,1.16,±1,Stanford,15.3,±5,CH,1517,±1,83,,
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.85700000000001,0.5,CCCCCCCCC,0.14300000000000002,306.0,Species,4.0,1.84,±1,Stanford,14.13,±3,OH,1385,±0.7,231,,
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,23.3,,Stanford,5.0,±5,OH,822,±1,805,,
n_Dodecane / Vasu_2010_thesis,N2,78.107,1.0,CCCCCCCCCCCC,1.123,306.0,Species,20.77,26.9,,Stanford,5.0,±5,OH,818,±1,881,,
blend_surrogate_fuels,N2,77.52600000000001,1.0,CCCCCCC,1.874,306.7,Species,20.6,20.0,,Stanford,5.0,,OH,806,±1.8,1377,,
n_Dodecane_Nano,N2,78.43,0.5,CCCCCCCCCCCC,0.57,430.0,Speceis,21.0,6.7,,Stanford,15.3,,CH,1238,,109,,
n_Alkane_Oxidation,Ar,99.64,1.0,CCCCCCC,0.03,306.7,Species,0.33,3.8,,Stanford,8.9,±5,OH,1649,,73,,
