Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8168,1.12,CCCCCCCCCCCCCCCC,0.1832,431,Species,4,6.46,,Stanford,15.3,±2,CH,1327,±2,360
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.908,0.56,CCCCCCCCCCCCCCCC,0.092,431,Species,4,2.06,,Stanford,15.3,±2,CH,1159,±2,3870
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8832,0.72,CCCCCCCCCCCCCCCC,0.1168,431,Species,4,1.94,,Stanford,15.3,±2,CH,1266,±2,1122
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.9091,0.56,CCCCCCCCCCCCCCCC,0.0909,431,Species,4,1.91,,Stanford,15.3,±2,CH,1212,±2,2270
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8515,0.91,CCCCCCCCCCCCCCCC,0.1485,431,Species,4,1.83,,Stanford,15.3,±2,CH,1247,±2,2060
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8418,0.97,CCCCCCCCCCCCCCCC,0.1582,431,Species,4,1.89,,Stanford,15.3,±2,CH,1285,±2,1386
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8435,0.96,CCCCCCCCCCCCCCCC,0.1565,431,Species,4,1.71,,Stanford,15.3,±2,CH,1353,±2,708
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8835,0.71,CCCCCCCCCCCCCCCC,0.1165,431,Species,4,1.96,,Stanford,15.3,±2,CH,1218,±2,2657
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8746,0.77,CCCCCCCCCCCCCCCC,0.1254,431,Species,4,1.86,,Stanford,15.3,±2,CH,1231,±2,2137
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.9503,1.22,CCCCCCCCCCCCCCCC,0.0497,431,Species,1,6.54,,Stanford,15.3,±2,CH,1267,±2,1902
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.9688,0.76,CCCCCCCCCCCCCCCC,0.0312,431,Species,1,4.44,,Stanford,15.3,±2,CH,1172,±2,4577
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.9674,0.8,CCCCCCCCCCCCCCCC,0.0326,431,Species,1,4.6,,Stanford,15.3,±2,CH,1170,±2,5022
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,98.9507,1.21,CCCCCCCCCCCCCCCC,0.0493,431,Species,1,6.77,,Stanford,15.3,±2,CH,1333,±2,917
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8793,0.74,CCCCCCCCCCCCCCCC,0.1207,431,Species,4,2.05,,Stanford,15.3,±2,CH,1183,±2,4264
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8224,1.09,CCCCCCCCCCCCCCCC,0.1776,431,Species,4,2.13,,Stanford,15.3,±2,CH,1181,±2,5536
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.871,0.79,CCCCCCCCCCCCCCCC,0.129,431,Species,4,2.08,,Stanford,15.3,±2,CH,1165,±2,4548
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.8429,0.96,CCCCCCCCCCCCCCCC,0.1571,431,Species,4,2.03,,Stanford,15.3,±2,CH,1177,±2,4778
n_hexadecane / hexadecane_diesel/Haylett_2011_thesis,Ar,95.871,0.79,CCCCCCCCCCCCCCCC,0.129,431,Species,4,2.08,,Stanford,15.3,±2,CH,1165,±2,4548
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.95,±1,Stanford,14.13,±3,OH,1325,±0.7,859
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.96,±1,Stanford,14.13,±3,OH,1385,±0.7,390
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,1.87,±1,Stanford,14.13,±3,OH,1455,±0.7,166
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.59,±1,Stanford,14.13,±3,OH,1421,±0.7,210
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.63,±1,Stanford,14.13,±3,OH,1384,±0.7,285
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,1.98,±1,Stanford,14.13,±3,OH,1307,±0.7,663
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.07,±1,Stanford,14.13,±3,OH,1273,±0.7,988
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.19,±1,Stanford,14.13,±3,OH,1252,±0.7,1269
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,2.05,±1,Stanford,14.13,±3,OH,1265,±0.7,1569
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.37,±1,Stanford,14.13,±3,OH,1282,±0.7,1020
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.75,±1,Stanford,14.13,±3,OH,1319,±0.7,614
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,3.81,±1,Stanford,14.13,±3,OH,1273,±0.7,1064
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.68,1,CCCCCCCC,0.32,306,Species,4,2.01,±1,Stanford,14.13,±3,OH,1289,±0.7,1198
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,1.91,±1,Stanford,14.13,±3,OH,1434,±0.7,104
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,2.01,±1,Stanford,14.13,±3,OH,1380,±0.7,220
