Fuel,Primary Carbon,Secondary Carbon,Tertiary Carbon,Quaternary carbon,T(K),P(atm),Fuel (+ACU- mass fraction),Oxidizer,Diluant,Equivalence Ratio,Diluant Type,Time (micro second)
C,0,0,0,0,2164,0.395,0.3007,0.6005,99.0988,1,Ar,600
C,0,0,0,0,2238,0.541,0.3007,0.6005,99.0988,1,Ar,340
C,0,0,0,0,2317,0.541,0.3007,0.6005,99.0988,1,Ar,235
C,0,0,0,0,2470,0.512,0.3007,0.6005,99.0988,1,Ar,141
C,0,0,0,0,2140,0.616,0.3007,1.2079,98.4914,0.5,Ar,304
C,0,0,0,0,2298,0.559,0.3007,1.2079,98.4914,0.5,Ar,193
C,0,0,0,0,2374,0.37,0.3007,1.2079,98.4914,0.5,Ar,238
C,0,0,0,0,2408,0.496,0.3007,1.2079,98.4914,0.5,Ar,155
C,0,0,0,0,1951,1.066,0.2012,0.1,99.6988,4,Ar,530
C,0,0,0,0,2075,1.011,0.2012,0.1,99.6988,4,Ar,256
C,0,0,0,0,2264,1.024,0.2012,0.1,99.6988,4,Ar,83
C,0,0,0,0,2401,0.939,0.2012,0.1,99.6988,4,Ar,42
C,0,0,0,0,1942,1.092,0.1,0.2011,99.6989,0.99,Ar,625
C,0,0,0,0,1989,1.09,0.0994,0.2021,99.6985,0.98,Ar,443
C,0,0,0,0,1997,1.032,0.0994,0.2021,99.6985,0.98,Ar,281
C,0,0,0,0,2053,1.016,0.0994,0.2021,99.6985,0.98,Ar,230
C,0,0,0,0,2169,0.99,0.1,0.2011,99.6989,0.99,Ar,129
C,0,0,0,0,2224,1.039,0.0994,0.2021,99.6985,0.98,Ar,109
C,0,0,0,0,2338,1.219,0.0994,0.2021,99.6985,0.98,Ar,34
C,0,0,0,0,2503,0.924,0.1,0.2011,99.6989,0.99,Ar,35
C,0,0,0,0,1933,1.099,0.1,0.4034,99.4966,0.5,Ar,508
C,0,0,0,0,2210,1.006,0.1,0.4034,99.4966,0.5,Ar,89
C,0,0,0,0,2460,0.91,0.1,0.4034,99.4966,0.5,Ar,27.5
C,0,0,0,0,2056,1.036,0.0997,0.1996,99.7007,1,Ar,632
C,0,0,0,0,2145,1.063,0.1002,0.2,99.6998,1,Ar,287
C,0,0,0,0,2166,1.098,0.1002,0.2,99.6998,1,Ar,305
C,0,0,0,0,2190,1.13,0.0997,0.1996,99.7007,1,Ar,230
C,0,0,0,0,2216,1.081,0.1002,0.2,99.6998,1,Ar,195
C,0,0,0,0,2169,0.497,0.1007,0.2014,99.6979,1,Ar,590
C,0,0,0,0,2223,0.348,0.1007,0.2014,99.6979,1,Ar,650
C,0,0,0,0,2279,0.49,0.1007,0.2014,99.6979,1,Ar,403
C,0,0,0,0,2299,0.472,0.1007,0.2014,99.6979,1,Ar,355
C,0,0,0,0,2623,0.413,0.1007,0.2014,99.6979,1,Ar,140
C,0,0,0,0,1203,50.5,3.8,19.2,77,0.4,Ar,694
C,0,0,0,0,1232,50,3.8,19.2,77,0.4,Ar,555
C,0,0,0,0,1268,49,3.8,19.2,77,0.4,Ar,406
C,0,0,0,0,1285,44.4,3.8,19.2,77,0.4,Ar,415
C,0,0,0,0,1319,48.9,3.8,19.2,77,0.4,Ar,261
C,0,0,0,0,1359,47.3,3.8,19.2,77,0.4,Ar,206
C,0,0,0,0,1137,100.9,3.8,19.2,77,0.4,Ar,661
C,0,0,0,0,1169,98.8,3.8,19.2,77,0.4,Ar,541
C,0,0,0,0,1198,96.2,3.8,19.2,77,0.4,Ar,440
C,0,0,0,0,1207,94.7,3.8,19.2,77,0.4,Ar,392
C,0,0,0,0,1268,98.2,3.8,19.2,77,0.4,Ar,241
C,0,0,0,0,1292,100,3.8,19.2,77,0.4,Ar,191
C,0,0,0,0,1312,94.5,3.8,19.2,77,0.4,Ar,169
C,0,0,0,0,1361,94.7,3.8,19.2,77,0.4,Ar,114
C,0,0,0,0,1198,161.2,3.8,19.2,77,0.4,Ar,253
C,0,0,0,0,1250,150.8,3.8,19.2,77,0.4,Ar,177
C,0,0,0,0,1325,39.8,20,13.3,66.7,3,Ar,654
C,0,0,0,0,1346,47.5,20,13.3,66.7,3,Ar,361
C,0,0,0,0,1383,38.5,20,13.3,66.7,3,Ar,391
C,0,0,0,0,1431,34.5,20,13.3,66.7,3,Ar,250
C,0,0,0,0,1536,35.6,20,13.3,66.7,3,Ar,102
C,0,0,0,0,1167,91,20,13.3,66.7,3,Ar,572
C,0,0,0,0,1196,80.9,20,13.3,66.7,3,Ar,681
C,0,0,0,0,1203,77.7,20,13.3,66.7,3,Ar,622
C,0,0,0,0,1206,83,20,13.3,66.7,3,Ar,541
C,0,0,0,0,1363,91.8,20,13.3,66.7,3,Ar,152
C,0,0,0,0,1418,92.9,20,13.3,66.7,3,Ar,95
C,0,0,0,0,1179,106,20,13.3,66.7,3,Ar,414
