,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
17,1.0,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9.588279681984268,9
25,1.0,0.665,0.525,0.18,1.5785,0.6779999999999999,0.2289999999999999,0.456,13.571333467873187,14
41,1.0,0.565,0.435,0.185,0.9815,0.3289999999999999,0.136,0.39,14.157071000067335,13
42,1.0,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10.956884725070097,10
45,1.0,0.62,0.48,0.23,1.0935,0.4029999999999999,0.245,0.355,13.801554382059894,14
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14.693402456716873,14
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,13.192261462479513,15
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,12.129102387891093,13
83,1.0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,11.304090963925411,9
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,13.307079441783664,20
125,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,15.25340349003138,20
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,14.80448825240945,17
138,1.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8.712722730945126,8
145,1.0,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,15.40854569587207,13
158,1.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37,12.987796588186301,11
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,15.471405300860694,10
191,1.0,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10.904369976482766,10
195,1.0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,14.189885813000624,19
213,1.0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,12.196174556330995,10
230,1.0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,14.667513661590043,15
243,1.0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17.07816961685992,17
246,1.0,0.695,0.525,0.175,1.742,0.696,0.389,0.505,13.590584801774076,12
250,1.0,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13.344769742962578,13
254,1.0,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,10.703680450741194,8
269,1.0,0.68,0.58,0.2,1.787,0.585,0.4529999999999999,0.6,16.752952122236216,19
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,11.49503780291234,8
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.2789999999999999,0.355,13.373682260976427,12
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,16.86086361582314,21
291,1.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,14.42982171621667,20
306,1.0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,16.628241165903955,17
