,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
1,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
3,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
4,F,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,12
6,F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8
7,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
9,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
12,I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
14,M,0.675,0.505,0.16,1.5319999999999998,0.74,0.357,0.3815,11
20,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
22,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
24,F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
27,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
28,M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
29,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
30,M,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865,9
31,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
32,M,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12
33,M,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9
35,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
37,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
39,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
40,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
46,M,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,10
47,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
50,F,0.615,0.5,0.205,1.1055,0.4445,0.2269999999999999,0.39,16
53,F,0.585,0.475,0.165,1.053,0.4579999999999999,0.217,0.3,11
54,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
56,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
57,F,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37,9
58,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
59,F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
61,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
62,F,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,9
63,I,0.585,0.46,0.145,0.8465,0.3389999999999999,0.1669999999999999,0.295,10
65,M,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17
69,F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
71,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
72,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
73,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
74,F,0.65,0.5,0.19,1.464,0.6415,0.3389999999999999,0.4245,9
76,F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
77,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
80,F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
81,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
84,M,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,17
85,F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
89,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
90,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
92,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
93,M,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415,10
95,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
96,F,0.65,0.505,0.165,1.16,0.4785,0.2739999999999999,0.349,11
97,M,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9
98,M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
100,I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
101,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
103,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
108,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
111,I,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,10
113,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
115,I,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9
116,M,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
118,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
120,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
122,M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10
126,F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
127,M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
129,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
131,F,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12
134,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9
140,F,0.555,0.425,0.14,0.963,0.44,0.2239999999999999,0.24,7
141,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
142,M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
147,F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
148,M,0.535,0.44,0.165,0.875,0.2789999999999999,0.18,0.3,10
149,M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
150,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16
153,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
162,M,0.55,0.45,0.13,0.92,0.3779999999999999,0.2385,0.29,11
164,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
165,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
166,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10
168,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
169,F,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,18
171,F,0.52,0.41,0.17,0.8705,0.3735,0.2189999999999999,0.25,14
174,I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
176,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
177,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
178,M,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13
179,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
181,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
186,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
187,F,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,11
189,M,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
190,F,0.67,0.55,0.155,1.5659999999999998,0.858,0.3389999999999999,0.354,10
192,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
193,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18
200,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12
201,M,0.59,0.47,0.15,0.9955,0.481,0.2319999999999999,0.24,8
206,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
207,M,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,11
210,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
214,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
215,F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12
218,F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
220,I,0.55,0.445,0.11,0.7935,0.3779999999999999,0.142,0.26,10
222,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
223,M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13
229,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
231,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10
232,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
235,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
236,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
237,F,0.56,0.455,0.16,0.967,0.4525,0.207,0.2739999999999999,9
238,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
239,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
240,F,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20
242,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
244,M,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10
247,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
248,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14
251,F,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,10
252,M,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13
255,M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
256,M,0.59,0.47,0.135,1.1685,0.539,0.2789999999999999,0.28,8
257,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
260,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11
265,M,0.505,0.4,0.13,0.764,0.3035,0.1889999999999999,0.2175,11
268,M,0.585,0.475,0.15,1.065,0.5315,0.1989999999999999,0.2885,10
273,F,0.62,0.51,0.175,1.2705,0.5415,0.3229999999999999,0.3225,9
274,F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
275,F,0.66,0.525,0.16,1.277,0.4975,0.319,0.3939999999999999,13
277,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
279,F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
282,M,0.735,0.59,0.215,1.747,0.7275,0.4029999999999999,0.557,11
283,F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
284,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
285,F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
286,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
288,M,0.595,0.475,0.17,1.0965,0.419,0.2289999999999999,0.35,17
293,F,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
295,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
296,M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
298,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
299,M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
303,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
304,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
307,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
309,M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
311,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
314,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10
320,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
324,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
325,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14
328,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12
331,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
336,F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
338,F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11
340,M,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,12
342,F,0.605,0.475,0.175,1.0759999999999998,0.4629999999999999,0.2195,0.335,9
343,F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
344,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
346,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
348,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11
351,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
354,M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
358,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
362,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
364,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
367,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
369,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
370,M,0.595,0.45,0.145,0.959,0.4629999999999999,0.2065,0.2535,10
374,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
378,M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
379,F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
380,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
382,M,0.45,0.335,0.14,0.4625,0.1639999999999999,0.076,0.15,14
383,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
384,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
385,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
389,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17
394,M,0.53,0.405,0.15,0.8315,0.352,0.187,0.2525,10
395,M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
398,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
399,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
401,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
403,I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
404,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
406,M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,10
408,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
414,M,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
415,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
420,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
421,M,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,9
422,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
428,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
429,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
433,M,0.625,0.475,0.175,1.3405,0.6559999999999999,0.283,0.337,10
434,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
435,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
436,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
438,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
441,M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,11
445,M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
449,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
450,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
452,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
454,I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
456,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
457,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
459,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
462,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
463,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
467,M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10
468,M,0.69,0.53,0.19,1.5955,0.6779999999999999,0.331,0.48,10
472,I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
475,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
477,F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10
