,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
36,1.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045,8.654319490318958,9
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7.679058931204355,7
675,1.0,0.455,0.355,1.13,0.594,0.332,0.1159999999999999,0.1335,7.722977227004752,8
1455,1.0,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,7.557451242834991,8
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,10.325742431025839,9
1643,1.0,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,9.553796289309586,7
1737,1.0,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,10.081438824020491,12
1794,1.0,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5.960112655104922,5
2244,1.0,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,6.776827001219643,8
2422,1.0,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,9.701735445561516,8
2446,1.0,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,11.322559889008353,12
2597,1.0,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,7.8756285806047455,8
2714,1.0,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,10.187244433137884,11
2876,1.0,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,5.935788348813835,6
2968,1.0,0.465,0.36,0.08,0.488,0.191,0.125,0.155,9.939702763088045,11
3068,1.0,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,6.580223164326839,7
3533,1.0,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8.145393283415716,8
