sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
F,0.4,0.305,0.16,0.368,0.17300000000000001,0.0705,0.105,7
I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
I,0.49,0.39,0.12,0.511,0.2205,0.10300000000000001,0.1745,9
M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
I,0.56,0.435,0.13,0.777,0.354,0.17300000000000001,0.222,9
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
F,0.535,0.42,0.15,0.7365,0.2785,0.18600000000000003,0.215,14
M,0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,18
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
M,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9
M,0.63,0.455,0.15,1.1315,0.48100000000000004,0.2745,0.305,9
F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
M,0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,10
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
F,0.55,0.43,0.155,0.785,0.289,0.22699999999999998,0.233,11
I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7
F,0.65,0.515,0.215,1.4980000000000002,0.564,0.32299999999999995,0.425,16
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
F,0.55,0.435,0.14,0.745,0.34700000000000003,0.174,0.2265,9
M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
M,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335,15
F,0.625,0.49,0.165,1.127,0.47700000000000004,0.2365,0.3185,9
I,0.44,0.33,0.11,0.38,0.19699999999999998,0.079,0.09,7
I,0.395,0.3,0.09,0.27899999999999997,0.134,0.049,0.075,8
F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21
F,0.465,0.38,0.135,0.579,0.20800000000000002,0.1095,0.22,14
I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
M,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22,12
I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10
