,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
2,1.0,1.13081,0.0,8.14,0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,21.0,360.17,22.6,11.957299887204861,12.7
6,1.0,1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32,48.9423265622578,50.0
13,1.0,0.05646,0.0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,20.97989675213018,21.2
14,1.0,1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437,21.2,396.9,34.41,6.9496373326455245,14.4
29,1.0,0.17899,0.0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,21.10077726833865,23.1
31,1.0,0.77299,0.0,8.14,0,0.5379999999999999,6.495,94.4,4.4547,4,307,21.0,387.94,12.8,20.55483736094726,18.4
32,1.0,1.00245,0.0,8.14,0,0.5379999999999999,6.674,87.3,4.239,4,307,21.0,380.23,11.98,23.332634756401127,21.0
33,1.0,1.61282,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,248.31,20.34,15.42564367911689,13.5
36,1.0,1.38799,0.0,8.14,0,0.5379999999999999,5.95,82.0,3.99,4,307,21.0,232.6,27.71,12.570462467853039,13.2
37,1.0,0.26838,0.0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,20.18125273310968,18.3
46,1.0,0.59005,0.0,21.89,0,0.624,6.372000000000001,97.9,2.3274,4,437,21.2,385.76,11.12,21.273527103103508,23.0
49,1.0,0.34006,0.0,21.89,0,0.624,6.457999999999999,98.9,2.1185,4,437,21.2,395.04,12.6,21.66649553529632,19.2
57,1.0,0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,25.21070756482999,22.8
59,1.0,0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,16.302966854021832,18.3
65,1.0,1.2074200000000002,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,20.594237934010298,17.4
69,1.0,0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,16.501445886205442,17.4
76,1.0,0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,22.547365515722024,21.6
89,1.0,1.35472,0.0,8.14,0,0.5379999999999999,6.072,100.0,4.175,4,307,21.0,376.73,13.04,17.552980194037136,14.5
95,1.0,2.15505,0.0,19.58,0,0.871,5.627999999999999,100.0,1.5166,5,403,14.7,169.27,16.65,14.834560909518618,15.6
97,1.0,1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43,25.78975324313344,24.3
104,1.0,0.84054,0.0,8.14,0,0.5379999999999999,5.599,85.7,4.4546,4,307,21.0,303.42,16.51,11.389123838256657,13.9
107,1.0,0.80271,0.0,8.14,0,0.5379999999999999,5.456,36.6,3.7965,4,307,21.0,288.99,11.69,15.309312691020853,20.2
113,1.0,4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42,17.499478787241713,15.6
114,1.0,0.26169,0.0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72,19.672842863426503,19.4
123,1.0,1.25179,0.0,8.14,0,0.5379999999999999,5.57,98.1,3.7979,4,307,21.0,376.57,21.02,11.848719167938686,13.6
132,1.0,0.13058,0.0,10.01,0,0.547,5.872000000000001,73.1,2.4775,6,432,17.8,338.63,15.37,16.768532506258932,20.4
135,1.0,0.09512,0.0,12.83,0,0.437,6.2860000000000005,45.0,4.5026,5,398,18.7,383.23,8.94,23.582907234559034,21.4
140,1.0,0.7842,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,21.0,386.75,14.67,16.880871156983048,17.5
143,1.0,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,24.452768834154693,24.6
153,1.0,1.80028,0.0,19.58,0,0.605,5.877000000000001,79.2,2.4259,5,403,14.7,227.61,12.14,22.16355119619989,23.8
154,1.0,2.7797400000000003,0.0,19.58,0,0.871,4.9030000000000005,97.8,1.3459,5,403,14.7,396.9,29.29,10.184457770809733,11.8
166,1.0,0.12329,0.0,10.01,0,0.547,5.912999999999999,92.9,2.3534,6,432,17.8,394.95,16.21,16.547542325217808,18.8
175,1.0,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,27.305953244058532,23.8
178,1.0,0.7904100000000001,0.0,9.9,0,0.544,6.122000000000001,52.8,2.6403,4,304,18.4,396.9,5.98,25.522891650365167,22.1
184,1.0,0.7258,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,21.0,390.95,11.28,16.851956570399587,18.2
189,1.0,2.01019,0.0,19.58,0,0.605,7.928999999999999,96.2,2.0459,5,403,14.7,369.3,3.7,43.69409115858728,50.0
192,1.0,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12,22.298080677705467,17.0
193,1.0,1.05393,0.0,8.14,0,0.5379999999999999,5.935,29.3,4.4986,4,307,21.0,386.85,6.58,21.930049712540676,23.1
194,1.0,0.08387,0.0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.704506323122562,20.3
200,1.0,1.4250200000000002,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,25.990722307114396,23.3
216,1.0,1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,29.489985995620643,27.0
217,1.0,0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,21.234869172589843,18.0
224,1.0,1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,40.054403164308724,50.0
228,1.0,0.32982,0.0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,15.199347418907701,18.4
233,1.0,0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437,21.2,392.11,17.19,14.457087182833677,16.2
237,1.0,0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,18.349803469977353,17.5
259,1.0,0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97,20.31878565269509,20.3
263,1.0,0.2391199999999999,0.0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92,23.42605474878017,21.2
270,1.0,0.62976,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307,21.0,396.9,8.26,18.642623663285427,20.4
271,1.0,2.3139,0.0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,23.5254944282745,19.1
283,1.0,0.2498,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,14.930280747065009,13.3
300,1.0,0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,17.428848953713217,14.0
301,1.0,0.07896,0.0,12.83,0,0.437,6.273,6.0,4.2515,5,398,18.7,394.92,6.78,27.14547408019476,24.1
309,1.0,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,21.525734114829657,18.5
310,1.0,1.15172,0.0,8.14,0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4,307,21.0,358.77,18.35,13.430788887770476,13.1
312,1.0,0.47547,0.0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73,21.025823818952926,21.0
314,1.0,1.19294,0.0,21.89,0,0.624,6.3260000000000005,97.7,2.271,4,437,21.2,396.9,12.26,21.768799488144353,19.6
316,1.0,2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403,14.7,240.16,9.81,25.781125411148164,25.0
321,1.0,0.49298,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54,26.865043602010694,22.8
324,1.0,0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33,16.013282819672185,17.8
331,1.0,2.63548,0.0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64,17.29245372414452,16.1
334,1.0,1.83377,0.0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,44.654047344892675,50.0
343,1.0,1.6566,0.0,19.58,0,0.871,6.122000000000001,97.3,1.618,5,403,14.7,372.8,14.1,21.924644300842072,21.5
348,1.0,0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.03381226474311,19.2
350,1.0,0.27957,0.0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59,24.115875310423853,24.5
