,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
1,1.0,7.1,2.5,3.1,2.3,5.0,3.2,1.56,9.914,3.14,5.1,11.4,6.166958184945534,6
2,1.0,6.8,2.8000000000000003,4.4,9.3,3.1,3.5,1.37,9.946,3.16,3.5999999999999996,10.4,6.068609550014928,6
4,1.0,7.8,4.3,4.9,13.0,3.3000000000000003,3.7,1.58,9.955,3.14,3.5,11.3,6.223028813267856,6
5,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,5.954349294010551,8
8,1.0,7.2,2.4,2.9,3.0,3.5999999999999996,1.7,1.17,9.9411,3.36,6.800000000000001,10.1,5.849116894998135,6
9,1.0,6.5,2.2,2.5,17.1,5.0,4.4,1.38,10.001,3.3,3.7,8.8,5.350393279404521,5
10,1.0,7.4,2.0,2.8000000000000003,9.1,4.7,2.9,0.95,9.953199999999999,3.16,4.699999999999999,9.8,5.760803107647274,7
11,1.0,7.3,4.3,3.7,4.6,2.79999999999999,1.7,1.14,9.91,3.23,4.3,13.2,6.604930968062146,6
17,1.0,7.1,4.4,3.7,2.7,4.09999999999999,3.5,1.28,9.896,3.07,4.3,13.5,6.688499573346013,7
18,1.0,7.0,2.0,4.9,5.9,3.8,3.9,1.28,9.938,3.21,4.8,10.8,6.243537959207384,6
25,1.0,6.2,2.8000000000000003,2.2,7.3,4.09999999999999,2.6,1.57,9.957,3.44,6.4,9.8,5.722408136605432,7
26,1.0,6.8,3.2,3.0,3.3,2.89999999999999,1.5,0.8,9.9061,3.33,6.3,12.6,6.693824680478349,7
28,1.0,6.4,1.7999999999999998,3.2,9.6,5.2,2.4,0.9,9.963,3.35,4.9,9.4,5.624844256164799,6
35,1.0,6.6,3.0,2.5,8.0,3.5999999999999996,2.1,1.24,9.9362,3.06,3.8,10.8,5.809673562911479,6
36,1.0,7.7,3.9000000000000004,3.0,5.2,3.6999999999999997,2.9,1.31,9.943,3.38,4.4,11.0,6.022665070553351,6
42,1.0,6.4,3.0,2.7,5.0,5.79999999999999,2.7,1.51,9.9198,3.22,4.9,12.2,6.153582315870855,6
45,1.0,7.7,3.8,2.3000000000000003,10.8,3.0,2.8,0.95,9.9164,2.93,4.1,13.6,6.692075724680907,6
47,1.0,6.2,3.2,2.4,4.1,5.1,3.4,1.49,9.9306,3.36,5.2,11.0,6.010307265935838,5
54,1.0,6.5,3.5999999999999996,3.1,13.55,5.3,2.0,1.13,9.9544,3.2,5.6000000000000005,11.0,5.915672884354515,6
56,1.0,6.7,2.4,3.2,9.0,2.3,2.0,1.09,9.9262,3.34,3.5,12.6,6.659925259902107,6
57,1.0,7.3,4.2,3.8,6.8,4.5,2.9,1.22,9.925,3.19,3.7,12.6,6.341557130529739,7
58,1.0,6.2,2.2,2.8000000000000003,2.2,4.0,2.4,1.25,9.917,3.19,4.8,10.5,5.980203934370865,6
60,1.0,7.2,2.3000000000000003,3.2,8.5,5.79999999999999,4.7,1.86,9.956,3.19,4.0,9.9,5.714422348340018,6
61,1.0,7.5,1.7999999999999998,3.1,6.5,2.89999999999999,5.3,1.6,9.9276,3.03,3.8,10.9,6.392580084602731,6
62,1.0,6.2,2.9,2.9,5.6,4.6,3.5,1.78,9.9313,3.25,5.1,10.5333333333,6.000070287566133,5
63,1.0,7.5,2.3000000000000003,2.9,2.6,3.1,2.4,0.98,9.9194,3.0,5.4,10.9,6.048696863239003,6
