Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1,CCCCCCC,0.2,431,Species,2.2,2.07,,Stanford,15.3,±5,CH,1547,±1,100
n_Alkane_Oxidation,Ar,99.505,1,CCCCCCCCCC,0.03,431,Species,0.465,2.21,,Stanford,8.9,±5,CH,1525, ±1.5,154
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.06,,Stanford,15.3,±5,CH,1503,±1,100
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.13,±1,Stanford,15.3,±5,CH,1557,±1,87
n_Alkane_Oxidation,Ar,99.3883,0.8,CCCCCCCCCC,0.03,431,Species,0.5817,2.11,,Stanford,8.9,±5,CH,1462, ±1.5,206
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,96.7,1,CCCCCCCCCC,0.2,431,Species,3.1,1.23,,Stanford,15.3,±5,CH,1470, ±1.5,180
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.21,,Stanford,15.3,±5,CH,1432,±1,110
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.857,0.5,CCCCCCCCC,0.143,306,Species,4,1.82,±1,Stanford,14.13,±3,OH,1470,±0.7,93
n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.04,,Stanford,8.9,±5,OH,1640,,99
n_Alkane_Oxidation,Ar,99.1505,0.7,CCCCCCCCCC,0.0365,431,Species,0.813,1.61,,Stanford,8.9,±5,CH,1524, ±1.5,144
iso_octane_heptane,Ar,99.4,1,CCCCCCC,0.05,216,Species,0.55,1.61,,Stanford,15.3,,CH3,1546,±1,162
aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,Ar,78.2428,0.67,CCCCCCCCCCCC,0.7572,430,Speceis,21,6.23,±9.3,Stanford,15.3,,CH,1249,±1,114
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.23,,Stanford,15.3,±5,CH,1396,±1,161
